,order_id,customer_id,product_id,order_date,quantity,total_amount
0,O00001,C00710,P0159,2023-03-22,3,2022.87
1,O00002,C00954,P0036,2023-06-30,2,3560.74
2,O00003,C01578,P0427,2023-11-06,3,5903.52
3,O00004,C00962,P0332,2024-02-27,3,4107.99
4,O00005,C00156,P0038,2024-10-13,5,5784.95
5,O00006,C00521,P0174,2023-05-17,5,407.75
6,O00007,C00982,P0352,2024-01-18,4,4907.64
7,O00008,C00976,P0172,2023-01-10,4,7037.88
8,O00009,C01001,P0238,2023-04-20,3,4076.97
9,O00010,C00702,P0258,2023-07-07,4,5695.64
10,O00011,C01447,P0068,2023-03-02,1,1633.64
11,O00012,C01167,P0085,2024-05-02,4,7452.32
12,O00013,C00505,P0158,2024-08-05,1,1286.8
13,O00014,C01972,P0348,2023-04-10,1,958.75
14,O00015,C01571,P0132,2023-09-12,2,2388.44
15,O00016,C00830,P0079,2024-08-07,5,3902.25
16,O00017,C00577,P0381,2024-09-25,1,1203.96
17,O00018,C00522,P0430,2023-02-17,5,6931.6
18,O00019,C01291,P0434,2024-12-14,1,1689.45
19,O00020,C01835,P0027,2024-03-05,5,4699.5
20,O00021,C01938,P0329,2024-05-09,5,6476.85
21,O00022,C01590,P0203,2024-10-08,3,3049.71
22,O00023,C00282,P0339,2024-12-09,4,5286.68
23,O00024,C01528,P0439,2023-06-03,5,5871.95
24,O00025,C01334,P0328,2024-05-13,2,3856.76
25,O00026,C00801,P0001,2023-02-28,5,9342.7
26,O00027,C00751,P0345,2024-02-25,4,5467.08
27,O00028,C00804,P0258,2023-06-04,4,5695.64
28,O00029,C00863,P0359,2023-10-13,5,3304.2
29,O00030,C01889,P0227,2023-11-19,5,2245.55
30,O00031,C00095,P0293,2023-05-11,3,323.04
31,O00032,C01055,P0119,2024-08-29,3,181.26
32,O00033,C00041,P0049,2024-10-09,3,2459.31
33,O00034,C01703,P0024,2023-08-07,1,1422.07
34,O00035,C00992,P0208,2023-02-22,2,1508.78
35,O00036,C01572,P0432,2024-01-23,5,6435.4
36,O00037,C01599,P0335,2024-07-08,1,1352.39
37,O00038,C01653,P0352,2023-08-01,3,3680.73
38,O00039,C00268,P0235,2024-10-02,1,1297.8
39,O00040,C01826,P0159,2023-02-22,3,2022.87
40,O00041,C01300,P0122,2024-07-25,3,1617.48
41,O00042,C00991,P0271,2023-05-27,2,2725.48
42,O00043,C00327,P0112,2023-07-08,4,6318.92
43,O00044,C01667,P0411,2024-02-29,1,873.95
44,O00045,C01270,P0301,2024-10-02,3,3016.41
45,O00046,C01361,P0436,2023-09-14,3,5344.35
46,O00047,C00888,P0385,2023-10-18,1,1924.73
47,O00048,C00923,P0284,2023-01-30,4,1409.04
48,O00049,C00298,P0387,2024-11-11,4,6593.72
49,O00050,C01220,P0283,2024-05-20,1,474.49
50,O00051,C01116,P0185,2024-12-22,1,1595.17
51,O00052,C00918,P0009,2024-11-27,2,2494.3
52,O00053,C01993,P0291,2023-06-16,1,890.9
53,O00054,C00651,P0500,2023-11-19,5,1612.0
54,O00055,C01681,P0500,2024-10-23,5,1612.0
55,O00056,C01630,P0029,2023-08-20,5,5327.45
56,O00057,C01849,P0321,2023-01-10,2,3262.52
57,O00058,C00378,P0259,2023-04-23,1,1484.64
58,O00059,C01142,P0328,2024-08-15,4,7713.52
59,O00060,C00979,P0111,2023-07-01,2,2276.9
60,O00061,C00326,P0435,2023-04-10,1,1902.58
61,O00062,C00386,P0216,2023-06-04,3,4578.09
62,O00063,C01831,P0348,2023-12-14,1,958.75
63,O00064,C01096,P0012,2023-05-26,1,624.61
64,O00065,C01740,P0152,2023-08-21,3,1071.99
65,O00066,C00700,P0332,2024-08-05,4,5477.32
66,O00067,C00172,P0030,2024-03-18,5,5811.9
67,O00068,C01237,P0356,2023-10-14,4,391.64
68,O00069,C01047,P0454,2024-03-14,3,973.47
69,O00070,C01421,P0044,2023-07-16,2,1160.64
70,O00071,C00962,P0424,2024-06-24,1,1141.78
71,O00072,C00892,P0298,2024-09-21,1,1571.12
72,O00073,C00428,P0138,2024-09-15,2,905.62
73,O00074,C00494,P0041,2023-07-30,1,459.55
74,O00075,C01223,P0317,2024-05-09,1,1174.72
75,O00076,C00348,P0126,2023-06-28,1,1431.12
76,O00077,C00107,P0440,2023-09-29,2,3966.5
77,O00078,C01313,P0461,2024-01-02,4,5470.6
78,O00079,C00813,P0273,2023-08-24,3,439.74
79,O00080,C01948,P0357,2024-07-10,3,5115.39
80,O00081,C00834,P0330,2024-12-20,1,1241.75
81,O00082,C01578,P0273,2023-07-10,5,732.9
82,O00083,C01654,P0149,2023-07-03,2,1587.22
83,O00084,C01023,P0252,2023-04-08,2,3914.76
84,O00085,C00248,P0245,2023-03-13,1,270.43
85,O00086,C01466,P0026,2024-09-28,2,2632.82
86,O00087,C01740,P0435,2024-01-25,3,5707.74
87,O00088,C00427,P0112,2024-08-08,1,1579.73
88,O00089,C00616,P0443,2023-09-21,4,2740.28
89,O00090,C00076,P0071,2023-02-19,4,5540.16
90,O00091,C01824,P0065,2024-02-06,4,5888.96
91,O00092,C01047,P0010,2023-04-02,1,975.53
92,O00093,C00227,P0010,2023-07-26,4,3902.12
93,O00094,C01649,P0222,2023-08-30,1,977.33
94,O00095,C01001,P0430,2023-11-08,4,5545.28
95,O00096,C00982,P0065,2023-11-13,3,4416.72
96,O00097,C00779,P0169,2024-09-02,2,2534.84
97,O00098,C01969,P0151,2024-08-18,3,115.29
98,O00099,C00343,P0204,2024-03-26,5,8673.0
99,O00100,C01299,P0446,2023-06-02,4,4067.32
100,O00101,C00347,P0124,2024-02-26,4,7431.52
101,O00102,C00749,P0251,2024-11-19,2,57.3
102,O00103,C01641,P0248,2023-02-15,1,1200.32
103,O00104,C01932,P0326,2023-01-04,3,5066.37
104,O00105,C01684,P0122,2023-06-02,3,1617.48
105,O00106,C01697,P0143,2024-07-03,1,1549.15
106,O00107,C00329,P0204,2023-04-24,5,8673.0
107,O00108,C01185,P0298,2024-09-08,5,7855.6
108,O00109,C00367,P0357,2024-08-10,3,5115.39
109,O00110,C01139,P0053,2024-08-15,5,4481.1
110,O00111,C00043,P0395,2023-09-12,4,7034.0
111,O00112,C00823,P0486,2024-06-29,3,945.75
112,O00113,C00307,P0126,2023-06-06,3,4293.36
113,O00114,C00986,P0098,2023-02-18,4,2206.16
114,O00115,C00780,P0438,2024-02-20,1,1309.15
115,O00116,C00274,P0461,2023-11-11,2,2735.3
116,O00117,C00226,P0461,2023-06-27,2,2735.3
117,O00118,C00142,P0363,2023-12-28,3,2274.33
118,O00119,C01817,P0498,2024-12-09,3,5971.74
119,O00120,C01034,P0419,2023-12-31,5,3148.55
120,O00121,C01913,P0470,2024-12-24,4,2598.64
121,O00122,C00122,P0216,2024-08-02,3,4578.09
122,O00123,C01269,P0190,2024-01-11,5,3430.2
123,O00124,C01486,P0041,2023-06-08,5,2297.75
124,O00125,C00184,P0483,2024-01-07,2,1754.36
125,O00126,C01280,P0174,2023-09-27,3,244.65
126,O00127,C01287,P0243,2023-11-21,5,9376.1
127,O00128,C01457,P0061,2023-07-01,3,4830.45
128,O00129,C00038,P0112,2024-04-17,4,6318.92
