order_id,payment_method,payment_status,payment_date
ORD10000,Bank Transfer,Paid,2025-04-25
ORD10001,Credit Card,Paid,2023-02-01
ORD10002,E-wallet,Paid,2024-12-08
ORD10003,Bank Transfer,Paid,2023-01-19
ORD10004,Credit Card,Paid,2024-02-28
ORD10005,Cash,Paid,2024-08-14
ORD10006,Credit Card,Paid,2025-03-15
ORD10007,Cash,Pending,2024-08-15
ORD10008,Credit Card,Paid,2024-02-10
ORD10009,Credit Card,Paid,2024-09-30
ORD10010,Credit Card,Paid,2024-06-14
ORD10011,Cash,Paid,2024-09-09
ORD10012,Credit Card,Paid,2025-06-25
ORD10013,Bank Transfer,Paid,2023-03-19
ORD10014,Bank Transfer,Paid,2023-08-20
ORD10015,Bank Transfer,Pending,2023-10-26
ORD10016,Cash,Paid,2024-05-26
ORD10017,Cash,Failed,2024-12-15
ORD10018,Bank Transfer,Pending,2024-07-28
ORD10019,Bank Transfer,Pending,2024-06-22
ORD10020,Bank Transfer,Paid,2024-08-05
ORD10021,E-wallet,Paid,2024-09-07
ORD10022,Bank Transfer,Paid,2023-11-23
ORD10023,Credit Card,Paid,2023-12-31
ORD10024,E-wallet,Paid,2024-11-01
ORD10025,E-wallet,Paid,2025-05-25
ORD10026,Cash,Paid,2023-12-27
ORD10027,Credit Card,Paid,2024-12-08
ORD10028,Cash,Paid,2025-02-27
ORD10029,Cash,Paid,2023-11-23
ORD10030,Credit Card,Paid,2024-11-29
ORD10031,Cash,Paid,2023-11-26
ORD10032,Credit Card,Paid,2024-09-17
ORD10033,Credit Card,Paid,2025-04-04
ORD10034,Cash,Paid,2023-06-16
ORD10035,Bank Transfer,Paid,2024-07-28
ORD10036,Cash,Paid,2024-08-30
ORD10037,E-wallet,Paid,2025-03-08
ORD10038,Cash,Paid,2024-04-02
ORD10039,Credit Card,Paid,2023-06-03
ORD10040,E-wallet,Paid,2025-01-09
ORD10041,Credit Card,Paid,2023-05-07
ORD10042,Bank Transfer,Paid,2023-07-16
ORD10043,Bank Transfer,Paid,2024-09-18
ORD10044,E-wallet,Paid,2025-02-16
ORD10045,Bank Transfer,Paid,2024-06-16
ORD10046,Bank Transfer,Paid,2023-01-13
ORD10047,Cash,Paid,2023-04-02
ORD10048,Cash,Paid,2023-05-19
ORD10049,Bank Transfer,Paid,2024-04-27
ORD10050,Bank Transfer,Paid,2024-03-28
ORD10051,Cash,Paid,2023-12-01
ORD10052,Bank Transfer,Paid,2025-05-19
ORD10053,Bank Transfer,Paid,2023-12-07
ORD10054,Credit Card,Paid,2023-02-21
ORD10055,Bank Transfer,Paid,2024-12-10
ORD10056,E-wallet,Paid,2024-04-11
ORD10057,Credit Card,Paid,2024-12-19
ORD10058,E-wallet,Paid,2025-03-11
ORD10059,Bank Transfer,Paid,2024-04-21
ORD10060,Cash,Pending,2024-02-06
ORD10061,Credit Card,Paid,2024-03-14
ORD10062,Cash,Paid,2025-05-29
ORD10063,Credit Card,Paid,2024-08-28
ORD10064,Cash,Paid,2025-04-03
ORD10065,Credit Card,Paid,2024-10-20
ORD10066,Credit Card,Failed,2024-08-21
ORD10067,E-wallet,Paid,2024-05-27
ORD10068,Cash,Paid,2023-06-04
ORD10069,E-wallet,Paid,2024-06-01
ORD10070,E-wallet,Paid,2024-05-19
ORD10071,Cash,Pending,2025-05-05
ORD10072,Credit Card,Paid,2025-06-23
ORD10073,E-wallet,Paid,2025-02-10
ORD10074,Cash,Paid,2024-11-07
ORD10075,Credit Card,Paid,2023-01-06
ORD10076,E-wallet,Paid,2024-05-14
ORD10077,E-wallet,Paid,2024-10-23
ORD10078,E-wallet,Paid,2024-12-20
ORD10079,Credit Card,Paid,2023-04-28
ORD10080,E-wallet,Paid,2024-04-29
ORD10081,Credit Card,Paid,2024-08-23
