order_id,shipping_date,shipping_fee,shipping_status
ORD10000,2025-04-22,6.83,Pending
ORD10001,2023-01-30,2.98,Cancelled
ORD10002,2024-12-11,7.86,Shipped
ORD10003,2023-01-17,16.29,Delayed
ORD10004,2024-02-28,17.03,Shipped
ORD10005,2024-08-12,2.25,Delayed
ORD10006,2025-03-18,3.1,Shipped
ORD10007,2024-08-15,5.45,Delayed
ORD10008,2024-02-13,7.35,Cancelled
ORD10009,2024-09-27,11.85,Pending
ORD10010,2024-06-19,1.9,Cancelled
ORD10011,2024-09-10,15.44,Pending
ORD10012,2025-06-25,14.01,Pending
ORD10013,2023-03-24,13.9,Delayed
ORD10014,2023-08-22,9.04,Cancelled
ORD10015,2023-10-25,3.48,Shipped
ORD10016,2024-05-29,10.29,Shipped
ORD10017,2024-12-21,14.5,Cancelled
ORD10018,2024-07-29,14.59,Cancelled
ORD10019,2024-06-24,10.33,Cancelled
ORD10020,2024-08-10,14.98,Delayed
ORD10021,2024-09-07,17.43,Pending
ORD10022,2023-11-24,10.5,Cancelled
ORD10023,2024-01-01,13.47,Pending
ORD10024,2024-10-30,16.01,Shipped
ORD10025,2025-05-28,11.13,Pending
ORD10026,2023-12-29,12.68,Pending
ORD10027,2024-12-12,1.79,Cancelled
ORD10028,2025-02-27,5.27,Delayed
ORD10029,2023-11-26,7.86,Delayed
ORD10030,2024-12-03,7.06,Cancelled
ORD10031,2023-11-23,18.66,Shipped
ORD10032,2024-09-21,13.26,Cancelled
ORD10033,2025-04-05,16.74,Pending
ORD10034,2023-06-18,6.33,Shipped
ORD10035,2024-08-01,10.47,Cancelled
ORD10036,2024-08-26,15.8,Shipped
ORD10037,2025-03-10,5.71,Shipped
ORD10038,2024-03-31,7.61,Cancelled
ORD10039,2023-06-05,16.29,Delayed
ORD10040,2025-01-06,12.78,Shipped
ORD10041,2023-05-11,15.58,Delayed
ORD10042,2023-07-16,5.53,Cancelled
ORD10043,2024-09-22,14.69,Shipped
ORD10044,2025-02-18,7.87,Delayed
ORD10045,2024-06-16,16.72,Pending
ORD10046,2023-01-13,15.58,Pending
ORD10047,2023-04-08,9.51,Delayed
ORD10048,2023-05-20,5.78,Cancelled
ORD10049,2024-04-28,5.33,Delayed
ORD10050,2024-03-29,17.1,Cancelled
ORD10051,2023-12-02,1.16,Shipped
ORD10052,2025-05-20,15.04,Shipped
ORD10053,2023-12-11,15.59,Pending
ORD10054,2023-02-27,9.71,Delayed
ORD10055,2024-12-07,4.53,Delayed
ORD10056,2024-04-12,7.82,Delayed
ORD10057,2024-12-19,14.66,Pending
ORD10058,2025-03-10,13.8,Delayed
ORD10059,2024-04-20,6.37,Shipped
ORD10060,2024-02-06,9.55,Cancelled
ORD10061,2024-03-14,9.66,Pending
ORD10062,2025-05-28,13.24,Pending
ORD10063,2024-09-02,19.52,Shipped
ORD10064,2025-04-05,15.48,Shipped
ORD10065,2024-10-24,15.07,Cancelled
ORD10066,2024-08-20,15.81,Shipped
ORD10067,2024-05-25,18.59,Shipped
ORD10068,2023-06-06,15.61,Delayed
ORD10069,2024-06-03,10.4,Shipped
ORD10070,2024-05-22,19.76,Pending
ORD10071,2025-05-03,6.61,Shipped
ORD10072,2025-06-19,14.07,Delayed
ORD10073,2025-02-15,13.7,Shipped
ORD10074,2024-11-06,17.96,Delayed
ORD10075,2023-01-11,2.8,Shipped
ORD10076,2024-05-17,19.1,Delayed
ORD10077,2024-10-22,11.49,Cancelled
ORD10078,2024-12-19,10.19,Cancelled
ORD10079,2023-04-29,5.89,Delayed
ORD10080,2024-05-03,3.83,Cancelled
ORD10081,2024-08-24,3.4,Delayed
ORD10082,2024-10-30,6.71,Cancelled
ORD10083,2024-11-13,2.13,Delayed
ORD10084,2024-04-14,11.7,Cancelled
ORD10085,2023-06-13,9.93,Shipped
ORD10086,2023-09-28,16.3,Shipped
ORD10087,2023-03-02,10.54,Cancelled
ORD10088,2023-08-17,15.79,Pending
ORD10089,2025-04-30,5.6,Delayed
ORD10090,2023-05-31,9.8,Shipped
ORD10091,2023-02-16,14.17,Delayed
ORD10092,2023-05-29,5.26,Shipped
ORD10093,2025-01-23,9.81,Pending
ORD10094,2025-02-25,6.85,Cancelled
ORD10095,2024-09-26,13.53,Cancelled
ORD10096,2023-12-08,13.49,Delayed
ORD10097,2024-02-23,12.41,Shipped
ORD10098,2025-01-06,15.34,Shipped
ORD10099,2024-06-05,5.95,Pending
ORD10100,2023-12-11,10.76,Shipped
ORD10101,2024-01-22,16.25,Cancelled
ORD10102,2024-04-21,12.86,Pending
ORD10103,2023-10-05,5.96,Pending
ORD10104,2023-12-20,6.39,Shipped
ORD10105,2023-03-08,6.37,Shipped
ORD10106,2023-03-21,3.0,Pending
ORD10107,2024-08-24,2.12,Cancelled
ORD10108,2024-09-29,15.59,Delayed
