order_id,customer_id,product_id,quantity,order_date
ORD10000,CUST1272,PROD1022,4,2025-04-22
ORD10001,CUST1230,PROD1002,5,2023-01-29
ORD10002,CUST1085,PROD1003,4,2024-12-06
ORD10003,CUST1473,PROD1024,1,2023-01-16
ORD10004,CUST1125,PROD1046,1,2024-02-27
ORD10005,CUST1299,PROD1037,5,2024-08-11
ORD10006,CUST1024,PROD1014,4,2025-03-15
ORD10007,CUST1144,PROD1020,4,2024-08-15
ORD10008,CUST1012,PROD1034,2,2024-02-09
ORD10009,CUST1211,PROD1045,3,2024-09-27
ORD10010,CUST1024,PROD1013,5,2024-06-14
ORD10011,CUST1067,PROD1035,3,2024-09-05
ORD10012,CUST1393,PROD1011,3,2025-06-22
ORD10013,CUST1066,PROD1016,5,2023-03-18
ORD10014,CUST1232,PROD1038,4,2023-08-17
ORD10015,CUST1108,PROD1008,5,2023-10-24
ORD10016,CUST1145,PROD1034,3,2024-05-24
ORD10017,CUST1110,PROD1012,4,2024-12-15
ORD10018,CUST1227,PROD1014,1,2024-07-26
ORD10019,CUST1110,PROD1017,5,2024-06-21
ORD10020,CUST1469,PROD1032,5,2024-08-05
ORD10021,CUST1033,PROD1005,4,2024-09-06
ORD10022,CUST1110,PROD1026,1,2023-11-22
ORD10023,CUST1263,PROD1022,1,2023-12-29
ORD10024,CUST1423,PROD1026,4,2024-10-30
ORD10025,CUST1368,PROD1033,2,2025-05-24
ORD10026,CUST1235,PROD1045,5,2023-12-25
ORD10027,CUST1082,PROD1037,5,2024-12-06
ORD10028,CUST1041,PROD1013,3,2025-02-25
ORD10029,CUST1424,PROD1035,4,2023-11-20
ORD10030,CUST1100,PROD1007,3,2024-11-28
ORD10031,CUST1005,PROD1034,3,2023-11-22
ORD10032,CUST1179,PROD1018,1,2024-09-16
ORD10033,CUST1281,PROD1029,5,2025-04-04
ORD10034,CUST1319,PROD1013,3,2023-06-14
ORD10035,CUST1225,PROD1019,1,2024-07-26
ORD10036,CUST1442,PROD1048,4,2024-08-26
ORD10037,CUST1439,PROD1024,3,2025-03-08
ORD10038,CUST1314,PROD1039,5,2024-03-30
ORD10039,CUST1364,PROD1023,3,2023-06-02
ORD10040,CUST1453,PROD1013,4,2025-01-06
ORD10041,CUST1228,PROD1025,3,2023-05-07
ORD10042,CUST1376,PROD1037,5,2023-07-12
ORD10043,CUST1288,PROD1022,1,2024-09-18
ORD10044,CUST1436,PROD1021,5,2025-02-12
ORD10045,CUST1149,PROD1047,1,2024-06-13
ORD10046,CUST1276,PROD1018,2,2023-01-10
ORD10047,CUST1197,PROD1045,5,2023-04-02
ORD10048,CUST1069,PROD1002,5,2023-05-19
ORD10049,CUST1111,PROD1041,4,2024-04-25
ORD10050,CUST1003,PROD1018,3,2024-03-24
ORD10051,CUST1349,PROD1008,1,2023-11-29
ORD10052,CUST1330,PROD1027,1,2025-05-18
ORD10053,CUST1445,PROD1019,4,2023-12-06
ORD10054,CUST1317,PROD1044,4,2023-02-21
ORD10055,CUST1349,PROD1006,3,2024-12-07
ORD10056,CUST1094,PROD1013,3,2024-04-10
ORD10057,CUST1151,PROD1008,5,2024-12-18
ORD10058,CUST1310,PROD1018,2,2025-03-09
ORD10059,CUST1136,PROD1046,3,2024-04-19
ORD10060,CUST1246,PROD1013,4,2024-02-05
ORD10061,CUST1386,PROD1037,3,2024-03-14
ORD10062,CUST1242,PROD1035,1,2025-05-27
ORD10063,CUST1030,PROD1039,2,2024-08-27
ORD10064,CUST1039,PROD1016,5,2025-03-31
ORD10065,CUST1228,PROD1029,1,2024-10-18
