order_id,shipping_id,shipping_method,shipping_status,shipping_date
ORD10000,SHP9000,Same Day,Delivered,2025-04-25
ORD10001,SHP9001,Same Day,Delivered,2023-01-30
ORD10002,SHP9002,Same Day,Delivered,2024-12-08
ORD10003,SHP9003,Standard,Delivered,2023-01-21
ORD10004,SHP9004,Same Day,Failed,2024-02-29
ORD10005,SHP9005,Standard,Delivered,2024-08-17
ORD10006,SHP9006,Express,Delivered,2025-03-16
ORD10007,SHP9007,Express,Delivered,2024-08-16
ORD10008,SHP9008,Express,Delivered,2024-02-10
ORD10009,SHP9009,Same Day,In Transit,2024-10-03
ORD10010,SHP9010,Express,Failed,2024-06-18
ORD10011,SHP9011,Same Day,Delivered,2024-09-10
ORD10012,SHP9012,Standard,Delivered,2025-06-27
ORD10013,SHP9013,Express,Failed,2023-03-23
ORD10014,SHP9014,Standard,Delivered,2023-08-21
ORD10015,SHP9015,Same Day,Delivered,2023-10-25
ORD10016,SHP9016,Same Day,Delivered,2024-05-25
ORD10017,SHP9017,Express,Delivered,2024-12-21
ORD10018,SHP9018,Express,Delivered,2024-07-28
ORD10019,SHP9019,Same Day,Cancelled,2024-06-25
ORD10020,SHP9020,Express,Delivered,2024-08-08
ORD10021,SHP9021,Express,Delivered,2024-09-10
ORD10022,SHP9022,Standard,Delivered,2023-11-28
ORD10023,SHP9023,Same Day,Delivered,2023-12-31
ORD10024,SHP9024,Standard,Delivered,2024-11-01
ORD10025,SHP9025,Express,Delivered,2025-05-26
ORD10026,SHP9026,Standard,Delivered,2023-12-26
ORD10027,SHP9027,Same Day,Delivered,2024-12-09
ORD10028,SHP9028,Standard,Delivered,2025-02-27
ORD10029,SHP9029,Standard,Delivered,2023-11-25
ORD10030,SHP9030,Express,Delivered,2024-11-29
ORD10031,SHP9031,Same Day,Delivered,2023-11-25
ORD10032,SHP9032,Express,Cancelled,2024-09-21
ORD10033,SHP9033,Express,Delivered,2025-04-07
ORD10034,SHP9034,Same Day,Delivered,2023-06-20
ORD10035,SHP9035,Standard,Delivered,2024-07-29
ORD10036,SHP9036,Express,Delivered,2024-08-31
ORD10037,SHP9037,Standard,Delivered,2025-03-12
ORD10038,SHP9038,Same Day,Delivered,2024-04-02
ORD10039,SHP9039,Express,Delivered,2023-06-06
ORD10040,SHP9040,Standard,Delivered,2025-01-09
ORD10041,SHP9041,Standard,Cancelled,2023-05-13
ORD10042,SHP9042,Express,Delivered,2023-07-17
ORD10043,SHP9043,Same Day,Delivered,2024-09-21
ORD10044,SHP9044,Standard,Delivered,2025-02-14
ORD10045,SHP9045,Same Day,In Transit,2024-06-19
ORD10046,SHP9046,Express,Delivered,2023-01-12
ORD10047,SHP9047,Standard,Delivered,2023-04-08
ORD10048,SHP9048,Standard,Delivered,2023-05-25
ORD10049,SHP9049,Standard,Delivered,2024-04-28
ORD10050,SHP9050,Same Day,Delivered,2024-03-29
ORD10051,SHP9051,Standard,Delivered,2023-12-04
ORD10052,SHP9052,Standard,Delivered,2025-05-19
ORD10053,SHP9053,Express,Delivered,2023-12-11
ORD10054,SHP9054,Standard,Failed,2023-02-25
ORD10055,SHP9055,Same Day,Delivered,2024-12-10
ORD10056,SHP9056,Express,Delivered,2024-04-12
ORD10057,SHP9057,Express,Delivered,2024-12-23
ORD10058,SHP9058,Standard,Delivered,2025-03-11
ORD10059,SHP9059,Express,Delivered,2024-04-20
ORD10060,SHP9060,Standard,Delivered,2024-02-08
ORD10061,SHP9061,Express,Delivered,2024-03-19
ORD10062,SHP9062,Same Day,Delivered,2025-05-29
ORD10063,SHP9063,Standard,Delivered,2024-09-02
ORD10064,SHP9064,Same Day,Delivered,2025-04-05
ORD10065,SHP9065,Standard,Delivered,2024-10-19
ORD10066,SHP9066,Same Day,Delivered,2024-08-26
ORD10067,SHP9067,Same Day,Delivered,2024-05-25
