"session_id","customer_id","product_id","view_date","duration_seconds"
1,117,194,"2024-10-23",120
2,185,44,"2025-02-21",121
3,356,166,"2025-03-17",50
4,618,124,"2024-12-29",139
5,729,122,"2025-02-06",132
6,176,18,"2025-04-02",84
7,698,6,"2025-02-04",188
8,466,76,"2024-06-17",151
9,183,255,"2024-10-07",266
10,816,6,"2024-08-15",171
11,991,70,"2024-05-12",300
12,596,236,"2023-08-25",89
13,80,187,"2024-09-28",261
14,416,31,"2025-04-20",94
15,612,244,"2023-12-15",9
16,299,215,"2023-11-30",206
17,967,241,"2024-07-26",224
18,143,224,"2024-04-23",227
19,782,289,"2024-03-05",169
20,150,125,"2024-02-14",111
21,134,276,"2025-03-10",137
22,902,20,"2023-08-21",260
23,869,164,"2024-07-06",234
24,622,56,"2025-01-03",49
25,146,130,"2024-06-02",22
26,947,184,"2025-05-17",295
27,357,124,"2025-01-31",15
28,253,284,"2024-05-02",15
29,560,194,"2023-08-23",82
30,264,6,"2025-02-16",279
31,73,60,"2023-10-26",47
32,566,223,"2024-08-07",5
33,454,265,"2024-07-04",25
34,339,37,"2025-06-24",15
35,810,80,"2023-08-10",110
36,882,20,"2024-01-27",90
37,490,255,"2024-01-02",219
38,990,176,"2024-06-11",209
39,952,4,"2024-09-12",214
40,400,28,"2024-04-15",51
41,89,13,"2024-03-12",243
42,502,207,"2023-12-14",292
43,415,42,"2024-01-18",11
44,384,179,"2024-07-24",265
45,696,188,"2024-07-12",266
46,497,272,"2023-12-14",212
47,166,178,"2024-02-18",136
48,164,292,"2023-11-10",162
49,686,113,"2024-12-31",40
50,265,300,"2024-05-10",205
51,884,81,"2024-11-12",78
52,936,74,"2024-01-24",258
53,952,133,"2024-06-04",253
54,373,132,"2025-07-08",216
55,861,164,"2025-07-03",181
56,534,183,"2024-09-09",6
57,920,224,"2024-04-29",80
58,838,174,"2024-12-17",156
59,533,94,"2023-11-21",87
60,884,109,"2025-07-10",186
61,898,93,"2024-02-25",36
62,242,66,"2023-10-24",48
63,447,50,"2024-09-04",83
64,444,156,"2024-06-25",73
65,15,275,"2025-05-30",298
66,512,159,"2024-03-03",64
67,600,144,"2023-11-02",190
68,574,43,"2024-05-08",108
69,222,98,"2023-07-23",193
70,241,293,"2023-08-24",108
71,679,295,"2023-08-09",238
72,290,192,"2025-04-01",172
73,49,44,"2023-11-08",85
74,527,229,"2023-11-15",251
75,206,206,"2024-05-05",42
76,751,289,"2025-02-09",242
77,834,102,"2024-06-10",207
78,822,107,"2024-06-18",206
79,200,27,"2024-07-05",64
80,484,123,"2023-08-07",197
81,524,283,"2023-11-07",90
82,224,41,"2023-10-09",152
83,402,163,"2025-04-23",74
84,871,223,"2024-02-10",102
85,651,299,"2023-09-14",113
86,116,168,"2025-03-10",276
87,361,22,"2024-06-10",17
88,854,247,"2024-03-09",61
89,650,7,"2025-03-24",29
90,591,179,"2023-10-11",247
91,187,223,"2023-08-22",27
92,873,190,"2024-12-28",64
93,399,34,"2024-03-30",229
94,425,7,"2024-06-30",241
95,535,221,"2024-02-25",155
96,416,107,"2024-07-13",162
97,392,211,"2024-08-30",207
98,660,58,"2023-11-26",15
99,531,33,"2025-01-31",281
100,25,72,"2023-12-17",118
101,556,266,"2023-10-28",156
102,968,249,"2024-04-17",291
103,23,150,"2025-06-21",197
104,493,22,"2025-06-06",140
105,603,258,"2024-04-25",299
106,379,58,"2025-01-09",64
107,428,33,"2024-04-05",254
108,344,233,"2024-09-12",170
109,245,98,"2025-04-16",9
110,53,13,"2023-12-21",238
111,26,193,"2023-09-25",285
112,51,296,"2024-06-12",108
113,191,118,"2023-12-15",53
114,832,272,"2023-12-09",72
115,147,75,"2024-04-08",109
116,497,36,"2023-07-26",118
117,374,142,"2025-01-16",64
118,14,161,"2024-04-05",168
119,631,68,"2024-12-06",120
120,207,280,"2025-03-24",144
121,709,226,"2023-10-24",260
122,419,266,"2025-03-24",198
123,675,299,"2024-03-01",93
124,834,298,"2024-02-01",57
125,17,290,"2025-06-14",255
126,288,204,"2025-04-27",151
127,482,70,"2023-08-01",41
128,895,259,"2023-07-25",20
129,6,296,"2024-08-06",118
130,634,121,"2023-11-02",236
131,160,4,"2024-06-11",183
132,574,96,"2023-09-18",58
133,37,283,"2025-04-18",157
134,241,147,"2023-11-04",59
135,917,29,"2023-08-28",199
136,228,185,"2024-12-15",148
137,464,74,"2023-11-06",292
138,821,39,"2025-03-03",214
139,90,258,"2023-07-24",201
140,272,184,"2024-07-22",275
141,146,25,"2023-08-15",300
142,699,165,"2024-12-04",291
143,115,197,"2025-07-08",100
144,222,27,"2024-02-13",102
145,824,287,"2023-10-31",237
146,484,98,"2024-07-17",103
147,296,55,"2024-11-02",71
148,461,293,"2024-01-24",232
149,844,50,"2024-03-09",275
150,181,77,"2024-03-27",206
151,511,210,"2024-03-17",21
152,848,28,"2023-08-27",86
153,583,135,"2025-04-28",274
154,234,280,"2024-02-19",153
155,593,182,"2025-06-06",216
156,180,271,"2024-03-02",115
157,647,291,"2023-09-23",189
158,148,216,"2024-12-19",192
159,702,167,"2023-10-22",187
160,418,135,"2024-12-08",13
161,742,283,"2023-08-25",39
162,721,35,"2024-11-13",77
163,516,281,"2025-01-21",38
164,638,140,"2025-04-05",295
165,286,140,"2023-09-10",46
166,896,8,"2025-03-07",139
167,585,124,"2023-11-09",183
168,336,279,"2025-02-17",71
169,267,220,"2023-11-16",169
170,162,181,"2025-06-17",102
171,511,158,"2024-07-30",177
172,843,236,"2023-11-02",300
173,427,36,"2023-08-07",192
174,760,96,"2024-09-18",126
175,898,256,"2024-07-25",8
176,129,27,"2025-07-06",47
177,626,191,"2023-11-14",298
178,253,130,"2025-02-08",203
179,747,262,"2024-12-27",191
180,747,235,"2025-01-24",144
181,780,157,"2024-01-05",296
182,253,272,"2023-07-25",254
183,963,242,"2025-04-30",34
184,405,19,"2024-12-15",177
185,749,173,"2023-08-07",153
186,588,205,"2024-04-18",136
187,894,195,"2024-04-10",189
188,990,79,"2023-09-16",295
189,524,116,"2024-10-07",56
190,220,15,"2023-11-09",138
191,145,25,"2024-11-13",165
192,771,191,"2024-08-31",80
193,317,201,"2024-03-10",41
194,31,4,"2024-08-11",7
195,696,300,"2024-01-07",75
196,483,159,"2024-03-16",24
197,179,140,"2024-10-02",109
198,818,201,"2024-07-14",263
199,939,56,"2024-12-23",284
200,528,185,"2024-01-08",248
201,88,6,"2023-12-18",5
202,801,50,"2025-02-06",236
203,632,71,"2024-08-10",42
204,849,114,"2024-08-03",131
205,354,172,"2023-11-14",224
206,627,27,"2024-06-21",16
207,515,214,"2025-02-05",152
208,108,203,"2023-10-03",72
209,646,192,"2025-05-07",39
210,932,193,"2024-08-29",77
211,684,222,"2024-04-02",55
212,427,29,"2025-07-10",8
213,943,185,"2023-11-05",22
214,78,15,"2024-03-24",151
215,681,179,"2023-07-26",213
216,514,11,"2024-10-31",282
217,27,262,"2023-11-02",253
218,604,185,"2025-06-12",246
219,819,191,"2024-04-21",186
220,519,235,"2024-09-21",78
221,839,220,"2023-07-24",46
222,770,169,"2024-10-01",25
223,32,249,"2025-03-05",35
224,615,276,"2024-02-25",274
225,548,295,"2024-12-31",150
226,575,109,"2024-01-07",287
227,742,244,"2025-02-17",225
228,64,294,"2024-11-24",165
229,270,128,"2023-12-19",158
230,20,299,"2024-04-03",94
231,640,50,"2024-05-27",182
232,213,158,"2024-07-03",174
233,237,250,"2023-11-01",226
234,404,137,"2024-08-23",269
235,741,116,"2024-09-14",201
236,182,237,"2023-09-15",77
237,449,78,"2024-12-15",98
238,151,291,"2025-03-12",89
239,276,22,"2023-09-30",33
240,797,98,"2024-10-14",169
241,310,167,"2025-01-27",141
242,338,79,"2025-02-21",150
243,849,43,"2023-09-27",53
244,131,291,"2024-07-10",240
245,191,199,"2024-07-17",50
246,496,10,"2023-08-18",14
247,369,64,"2025-07-02",182
248,617,14,"2023-12-03",200
249,266,71,"2024-11-11",259
250,140,234,"2024-08-13",114
251,400,217,"2023-10-24",78
252,501,140,"2023-09-10",115
253,239,255,"2024-03-24",215
254,817,37,"2024-04-20",298
255,138,158,"2025-06-07",21
256,707,96,"2024-11-07",243
257,721,129,"2024-04-18",9
258,728,117,"2025-04-25",199
259,724,87,"2023-09-20",133
260,496,42,"2023-12-06",269
261,184,52,"2024-06-29",257
262,190,39,"2025-02-17",77
263,918,298,"2023-09-12",128
264,152,26,"2025-07-11",176
265,105,67,"2024-06-11",273
266,820,224,"2024-11-12",101
267,323,214,"2024-12-16",292
268,357,69,"2023-08-16",299
269,244,121,"2024-12-30",175
270,150,249,"2023-09-01",47
271,328,231,"2024-07-01",241
272,52,99,"2025-06-25",191
273,796,283,"2024-11-15",76
274,99,56,"2024-10-17",32
275,402,113,"2024-05-21",160
276,634,128,"2025-07-02",242
277,886,4,"2024-08-16",252
278,593,276,"2024-02-04",16
279,193,125,"2024-07-16",25
280,796,51,"2024-04-15",161
281,895,135,"2024-02-19",271
282,191,190,"2024-11-02",105
283,581,84,"2023-09-25",8
284,955,128,"2025-05-06",233
285,930,252,"2024-04-21",205
286,454,274,"2024-08-05",71
287,260,7,"2025-07-01",241
288,371,107,"2024-09-26",132
289,99,159,"2024-02-20",92
290,88,198,"2024-03-05",190
291,722,112,"2024-06-25",180
292,682,101,"2023-09-07",114
293,405,93,"2024-11-10",284
294,347,264,"2023-10-18",85
295,835,227,"2023-09-29",240
296,720,136,"2024-12-21",162
297,800,79,"2023-12-27",115
298,801,187,"2023-10-27",290
299,71,214,"2023-11-14",124
300,433,164,"2024-06-28",84
301,5,207,"2024-12-24",207
302,560,283,"2023-12-14",87
303,409,202,"2024-03-03",70
304,178,212,"2023-08-28",177
305,794,273,"2025-06-26",34
306,983,18,"2024-11-16",222
307,304,171,"2023-09-29",111
308,854,284,"2024-05-11",160
309,608,21,"2024-08-08",276
310,803,17,"2025-04-01",112
311,333,26,"2023-08-06",238
312,900,185,"2023-11-20",125
313,109,285,"2025-06-07",75
314,231,295,"2024-07-20",123
315,205,180,"2024-05-31",6
316,596,111,"2024-02-28",41
317,436,279,"2024-03-26",138
318,437,60,"2024-06-09",215
319,833,168,"2025-04-04",136
320,739,241,"2024-01-31",222
321,5,191,"2024-05-07",252
322,973,28,"2024-08-27",191
323,754,48,"2025-01-08",20
324,974,161,"2025-05-12",132
325,350,139,"2023-10-24",276
326,848,114,"2024-03-06",33
327,476,279,"2023-09-03",172
328,332,171,"2024-07-12",156
329,865,233,"2025-05-15",48
330,153,277,"2023-12-12",282
331,657,55,"2025-02-21",166
332,589,287,"2024-06-22",89
333,416,26,"2024-09-26",36
334,405,247,"2025-03-20",113
335,762,233,"2025-05-24",258
336,313,141,"2025-04-26",58
337,929,55,"2025-05-22",27
338,983,145,"2024-10-13",66
339,491,272,"2024-07-01",15
340,68,267,"2023-08-17",146
341,1000,59,"2023-09-17",143
342,697,178,"2024-07-25",115
343,96,59,"2024-08-19",116
344,525,152,"2024-02-16",23
345,88,139,"2025-06-07",191
346,218,219,"2025-04-09",27
347,935,209,"2023-09-16",281
348,919,48,"2024-11-07",32
349,138,175,"2025-01-24",128
350,675,130,"2024-04-04",135
351,4,57,"2023-10-30",26
352,465,233,"2024-09-15",214
353,159,48,"2024-08-29",15
354,198,19,"2025-05-11",33
355,755,2,"2023-11-23",275
356,588,209,"2024-01-06",251
357,122,187,"2023-12-06",211
358,597,213,"2025-05-31",262
359,727,73,"2024-07-03",154
360,90,203,"2024-11-03",274
361,551,201,"2024-06-17",205
362,270,220,"2023-10-13",196
363,997,275,"2023-12-24",172
364,410,284,"2024-10-16",271
365,338,186,"2024-10-03",160
366,949,149,"2025-06-05",84
367,374,161,"2024-02-20",88
368,882,171,"2025-01-08",184
369,56,121,"2025-04-16",99
370,794,205,"2024-04-06",242
371,421,113,"2023-12-22",230
372,960,255,"2024-06-07",204
373,223,255,"2025-05-01",272
374,444,218,"2025-01-20",185
375,595,222,"2024-12-26",244
376,712,185,"2025-07-13",176
377,681,181,"2023-10-10",192
378,879,24,"2024-11-14",227
379,521,87,"2024-01-25",155
380,349,118,"2023-12-23",164
381,928,142,"2023-09-03",77
382,807,145,"2024-12-03",94
383,65,68,"2024-11-29",258
384,994,120,"2024-01-28",257
385,388,288,"2025-07-03",179
386,470,53,"2024-10-29",16
