"payment_id","order_id","amount","payment_date","payment_method"
1,2637,705,"2024-10-20","Bank Transfer"
2,3503,252,"2025-04-29","PayPal"
3,3133,582,"2025-06-06","Bank Transfer"
4,2669,896,"2023-10-04","Credit Card"
5,4572,211,"2025-06-08","Bank Transfer"
6,4588,560,"2024-08-13","PayPal"
7,1634,315,"2025-06-25","Bank Transfer"
8,1762,424,"2025-03-17","Bank Transfer"
9,4121,494,"2024-07-23","PayPal"
10,3606,648,"2025-07-18","Credit Card"
11,2245,740,"2025-04-13","PayPal"
12,876,884,"2023-10-15","PayPal"
13,610,227,"2024-05-24","Credit Card"
14,1992,810,"2025-06-30","Credit Card"
15,1315,297,"2024-09-19","Credit Card"
16,2667,942,"2024-12-02","Credit Card"
17,3930,575,"2024-10-23","PayPal"
18,4858,268,"2024-09-12","Credit Card"
19,3850,261,"2024-10-02","Bank Transfer"
20,377,813,"2025-07-04","Bank Transfer"
21,3196,777,"2024-07-09","Credit Card"
22,3990,615,"2024-04-22","PayPal"
23,2047,728,"2023-09-16","Credit Card"
24,2295,189,"2025-04-11","Bank Transfer"
25,4971,452,"2023-09-29","Bank Transfer"
26,4802,827,"2024-10-19","Credit Card"
27,3073,862,"2025-01-20","Bank Transfer"
28,486,444,"2023-11-14","Bank Transfer"
29,831,195,"2024-10-11","Credit Card"
30,460,183,"2024-12-16","Bank Transfer"
31,2808,79,"2025-01-02","Bank Transfer"
32,2262,65,"2024-04-25","Bank Transfer"
33,4407,254,"2025-01-06","Credit Card"
34,3027,902,"2025-06-08","PayPal"
35,3590,474,"2024-03-11","Credit Card"
36,2329,532,"2023-12-11","Bank Transfer"
37,910,503,"2024-10-23","Credit Card"
38,3866,121,"2024-07-23","PayPal"
39,1101,495,"2025-04-16","Bank Transfer"
40,607,896,"2024-05-17","PayPal"
41,2659,334,"2024-12-05","Credit Card"
42,3390,584,"2023-12-10","Credit Card"
43,1244,563,"2023-10-01","PayPal"
44,1233,916,"2023-12-23","Credit Card"
45,4832,251,"2024-06-21","PayPal"
46,2449,158,"2023-08-08","Bank Transfer"
47,4703,814,"2025-06-24","Credit Card"
48,1639,755,"2024-08-13","Bank Transfer"
49,4603,108,"2024-04-23","PayPal"
50,721,795,"2023-10-24","PayPal"
51,3591,403,"2024-10-27","Bank Transfer"
52,2009,793,"2024-06-25","PayPal"
53,2686,864,"2024-04-13","Credit Card"
54,4692,553,"2023-12-30","PayPal"
55,4478,182,"2024-03-09","Bank Transfer"
56,2136,885,"2024-07-16","PayPal"
57,4561,273,"2024-05-26","Credit Card"
58,4351,559,"2023-10-21","Credit Card"
59,2388,611,"2024-11-19","Credit Card"
60,180,940,"2025-05-23","Bank Transfer"
61,1151,886,"2023-07-28","Bank Transfer"
62,558,523,"2025-03-30","Bank Transfer"
63,2572,511,"2025-04-13","Bank Transfer"
64,2960,573,"2024-12-06","Bank Transfer"
65,3653,356,"2025-02-03","Bank Transfer"
66,1760,218,"2024-07-19","Credit Card"
67,1509,743,"2024-11-11","Credit Card"
68,2632,708,"2024-10-09","Bank Transfer"
69,3837,378,"2024-03-11","Credit Card"
70,1866,519,"2024-01-31","PayPal"
71,3775,193,"2025-07-19","PayPal"
72,2968,641,"2025-01-10","Bank Transfer"
73,2729,400,"2025-02-26","Bank Transfer"
74,1631,70,"2024-10-28","Bank Transfer"
75,2122,839,"2024-01-26","Bank Transfer"
76,2092,753,"2023-08-29","Credit Card"
77,4945,998,"2024-02-06","Credit Card"
78,190,771,"2024-11-29","PayPal"
79,1150,210,"2024-03-04","PayPal"
80,977,285,"2024-12-04","Bank Transfer"
81,3366,309,"2024-10-22","Bank Transfer"
82,3501,923,"2025-03-17","PayPal"
83,3247,649,"2024-01-16","PayPal"
84,3985,817,"2025-03-19","Credit Card"
85,394,857,"2024-07-13","PayPal"
86,4329,578,"2023-10-26","Bank Transfer"
87,494,118,"2024-12-11","Credit Card"
88,4197,76,"2023-10-24","Credit Card"
89,3060,837,"2023-10-17","Bank Transfer"
90,133,171,"2024-04-11","PayPal"
91,4635,218,"2024-02-13","Bank Transfer"
92,3582,731,"2024-06-04","PayPal"
93,263,900,"2025-05-06","Credit Card"
94,4131,869,"2024-01-28","Credit Card"
95,2680,33,"2024-08-04","PayPal"
96,4414,158,"2025-02-09","PayPal"
97,4031,581,"2024-11-24","Bank Transfer"
98,2316,781,"2024-01-12","Bank Transfer"
99,4709,732,"2023-12-14","Credit Card"
100,2735,591,"2024-02-18","PayPal"
101,550,355,"2023-12-12","Credit Card"
102,619,34,"2024-12-02","Bank Transfer"
103,4631,310,"2025-05-21","Bank Transfer"
104,755,483,"2023-10-06","Bank Transfer"
105,4574,657,"2024-06-04","PayPal"
106,921,738,"2024-08-11","Bank Transfer"
107,4357,201,"2023-10-20","Credit Card"
108,1297,616,"2024-03-26","Credit Card"
109,4207,204,"2023-12-02","Bank Transfer"
110,719,15,"2024-01-16","Credit Card"
111,4702,421,"2025-06-20","Bank Transfer"
112,3838,475,"2023-10-11","Bank Transfer"
113,4998,218,"2023-08-13","Bank Transfer"
114,1564,598,"2025-03-09","Credit Card"
115,599,102,"2025-02-15","PayPal"
116,3531,968,"2025-02-20","Bank Transfer"
117,2269,154,"2023-07-31","Bank Transfer"
118,3816,58,"2025-04-05","Credit Card"
119,3697,159,"2025-02-26","PayPal"
120,1247,160,"2024-02-09","PayPal"
121,2707,215,"2023-08-06","Bank Transfer"
122,599,127,"2024-06-08","Credit Card"
123,1489,690,"2025-05-18","PayPal"
124,4713,703,"2024-05-12","Bank Transfer"
125,2784,466,"2024-10-23","PayPal"
126,3720,472,"2023-08-27","Bank Transfer"
127,4324,664,"2024-08-27","PayPal"
128,3543,63,"2023-08-10","Bank Transfer"
129,176,610,"2025-04-20","Credit Card"
130,3289,749,"2023-08-21","Bank Transfer"
131,4709,98,"2023-07-23","Credit Card"
132,2407,122,"2025-06-24","PayPal"
133,53,409,"2025-02-02","Bank Transfer"
134,3195,138,"2025-04-24","Bank Transfer"
135,155,189,"2025-01-23","Bank Transfer"
136,70,130,"2024-01-02","Credit Card"
137,1846,724,"2023-12-21","Credit Card"
138,2641,452,"2024-11-03","PayPal"
139,3500,726,"2024-09-28","Bank Transfer"
140,1233,665,"2024-06-12","PayPal"
141,2121,926,"2025-07-01","Bank Transfer"
142,1826,762,"2025-06-17","Bank Transfer"
143,4788,933,"2024-03-14","Bank Transfer"
144,2676,206,"2025-02-21","Credit Card"
145,4362,627,"2023-12-21","Bank Transfer"
146,3750,732,"2025-05-04","Bank Transfer"
147,1642,47,"2024-12-11","Credit Card"
148,4706,576,"2025-02-25","PayPal"
149,2906,437,"2025-03-01","Credit Card"
150,4726,344,"2024-03-09","Credit Card"
151,1251,541,"2025-04-11","PayPal"
152,1548,664,"2024-12-16","Credit Card"
153,1215,461,"2023-07-26","Credit Card"
154,1689,878,"2023-12-21","PayPal"
155,2528,813,"2023-08-15","Credit Card"
156,1488,779,"2023-07-30","Bank Transfer"
157,827,113,"2024-03-05","Credit Card"
158,215,767,"2025-02-23","PayPal"
159,4370,289,"2025-07-15","Bank Transfer"
160,4931,109,"2024-10-18","PayPal"
161,324,292,"2024-12-07","Credit Card"
162,1044,792,"2024-09-28","PayPal"
163,4425,686,"2025-06-28","Credit Card"
164,2856,629,"2025-01-17","Credit Card"
165,568,149,"2025-06-30","Credit Card"
166,2683,344,"2024-01-21","Bank Transfer"
167,2584,19,"2023-09-02","Bank Transfer"
168,1886,668,"2025-05-06","Bank Transfer"
169,1711,982,"2025-03-16","Credit Card"
170,1653,159,"2025-01-07","Bank Transfer"
171,2482,294,"2024-10-07","Bank Transfer"
172,1338,138,"2023-09-11","Credit Card"
173,3476,842,"2024-05-19","PayPal"
174,2221,595,"2024-11-05","Credit Card"
175,1909,704,"2025-04-17","PayPal"
176,1780,373,"2024-02-25","Credit Card"
177,2911,968,"2025-02-08","Bank Transfer"
178,224,724,"2025-05-10","Credit Card"
179,1125,841,"2025-04-11","Bank Transfer"
180,3602,75,"2024-03-06","PayPal"
181,1009,745,"2025-02-27","Bank Transfer"
182,3073,659,"2025-02-05","Credit Card"
183,209,807,"2023-12-28","Bank Transfer"
184,3637,222,"2024-04-07","PayPal"
185,1709,670,"2024-06-05","PayPal"
186,3117,600,"2024-12-09","Bank Transfer"
187,404,137,"2025-03-19","PayPal"
188,3661,698,"2025-02-25","Credit Card"
189,3593,502,"2023-12-13","Bank Transfer"
190,3271,27,"2025-06-05","Credit Card"
191,1628,106,"2025-01-15","PayPal"
192,1685,969,"2025-05-12","Credit Card"
193,3118,127,"2025-06-17","Bank Transfer"
194,4836,283,"2023-10-29","Bank Transfer"
195,1022,430,"2023-12-27","Bank Transfer"
196,761,365,"2024-06-13","Bank Transfer"
197,1435,333,"2023-08-06","PayPal"
198,4151,373,"2023-11-30","Bank Transfer"
199,4738,314,"2024-07-31","Credit Card"
200,4232,925,"2024-08-14","Bank Transfer"
201,997,220,"2025-03-29","Bank Transfer"
202,1335,37,"2025-02-25","PayPal"
203,1718,942,"2025-03-29","Bank Transfer"
204,986,889,"2025-05-30","PayPal"
205,4007,781,"2023-12-05","Credit Card"
206,4955,35,"2024-02-09","Credit Card"
207,2936,990,"2024-01-18","PayPal"
208,2596,931,"2025-06-20","Bank Transfer"
209,3401,428,"2025-02-28","Credit Card"
210,1565,368,"2024-05-31","PayPal"
211,1724,170,"2024-06-05","Bank Transfer"
212,744,239,"2024-12-21","Bank Transfer"
213,4153,500,"2024-03-19","Credit Card"
214,2948,70,"2024-06-25","Bank Transfer"
215,3916,603,"2025-03-24","Bank Transfer"
216,2092,71,"2025-05-12","PayPal"
217,4168,722,"2024-09-25","Credit Card"
218,918,964,"2025-07-04","Credit Card"
219,3744,437,"2023-10-31","PayPal"
220,133,863,"2023-07-26","PayPal"
221,60,32,"2023-10-31","PayPal"
222,3114,236,"2025-03-21","Credit Card"
223,3441,135,"2025-03-08","Credit Card"
224,3280,289,"2025-06-15","Bank Transfer"
225,820,654,"2023-10-31","Credit Card"
226,2906,902,"2025-07-04","Bank Transfer"
227,2953,349,"2023-08-02","Credit Card"
228,2540,268,"2025-04-23","Credit Card"
229,535,865,"2024-10-29","Credit Card"
230,3557,829,"2025-05-22","Bank Transfer"
231,2464,688,"2024-11-27","Credit Card"
232,1879,646,"2024-08-02","PayPal"
233,692,230,"2024-09-01","Credit Card"
234,3193,713,"2025-02-19","Bank Transfer"
235,3862,293,"2023-08-18","Credit Card"
236,130,257,"2025-04-05","PayPal"
237,2251,133,"2024-08-30","Credit Card"
238,2649,620,"2025-04-13","Bank Transfer"
239,372,909,"2025-03-10","PayPal"
240,1153,411,"2023-08-10","PayPal"
241,2040,501,"2024-10-10","PayPal"
242,1453,915,"2025-01-10","Credit Card"
243,4626,643,"2024-07-26","PayPal"
244,76,375,"2024-08-01","Bank Transfer"
245,1049,894,"2024-05-09","PayPal"
246,4249,315,"2025-06-01","Bank Transfer"
247,1276,74,"2025-01-07","Bank Transfer"
248,1149,448,"2025-01-04","Credit Card"
249,3849,680,"2024-06-02","Bank Transfer"
250,320,998,"2024-10-27","PayPal"
251,502,378,"2023-10-11","PayPal"
252,4885,431,"2024-11-22","Bank Transfer"
253,1719,181,"2025-03-14","Bank Transfer"
254,2401,254,"2023-12-14","PayPal"
255,3045,485,"2024-05-07","Credit Card"
256,3399,115,"2025-03-23","Credit Card"
257,1291,838,"2024-03-28","Credit Card"
258,3435,259,"2023-11-20","Credit Card"
259,1413,440,"2023-10-12","Bank Transfer"
260,1431,119,"2025-02-27","Bank Transfer"
261,4249,559,"2023-11-04","PayPal"
262,1241,771,"2025-06-22","Bank Transfer"
263,1488,799,"2025-06-15","Bank Transfer"
264,2991,519,"2024-02-12","Credit Card"
265,897,48,"2025-05-11","PayPal"
266,1331,36,"2024-03-20","Credit Card"
267,246,912,"2024-02-09","Bank Transfer"
268,4076,795,"2024-02-12","PayPal"
269,1672,558,"2024-03-08","Credit Card"
270,2508,109,"2024-12-13","PayPal"
271,3307,405,"2024-01-13","Bank Transfer"
272,3058,766,"2024-01-04","Credit Card"
273,2173,99,"2023-12-26","Bank Transfer"
274,2631,170,"2023-09-06","Credit Card"
275,234,521,"2024-10-17","Credit Card"
276,212,549,"2023-11-18","Credit Card"
277,2717,522,"2024-05-11","PayPal"
278,234,814,"2024-11-26","PayPal"
279,3855,673,"2024-12-13","Credit Card"
280,281,453,"2024-10-15","Credit Card"
281,1183,157,"2023-07-30","Credit Card"
282,3340,40,"2023-10-14","Bank Transfer"
283,381,723,"2024-01-03","PayPal"
284,4420,974,"2023-11-23","Bank Transfer"
285,3089,707,"2024-05-11","PayPal"
286,4903,469,"2023-08-05","PayPal"
287,4303,204,"2025-05-06","Bank Transfer"
288,1391,52,"2024-02-07","Credit Card"
289,1296,458,"2023-09-17","Credit Card"
290,821,254,"2025-06-07","Bank Transfer"
291,123,467,"2024-10-19","PayPal"
292,2857,237,"2024-06-16","Bank Transfer"
293,1825,89,"2023-08-31","PayPal"
294,755,57,"2024-11-26","Credit Card"
295,3440,872,"2025-01-24","Credit Card"
296,544,368,"2025-05-08","PayPal"
297,921,535,"2024-03-21","Credit Card"
298,3897,283,"2025-06-12","PayPal"
299,3805,307,"2025-01-11","PayPal"
300,3401,803,"2024-01-01","Credit Card"
301,4397,183,"2024-11-15","Bank Transfer"
302,3608,707,"2023-09-17","PayPal"
303,1102,35,"2023-12-04","Credit Card"
304,4942,569,"2025-07-13","PayPal"
305,6,190,"2024-12-09","PayPal"
306,2552,536,"2024-06-09","Credit Card"
307,3902,533,"2024-01-01","Bank Transfer"
308,3847,362,"2025-03-29","PayPal"
309,2105,432,"2025-03-03","PayPal"
310,1051,435,"2025-05-04","Bank Transfer"
311,2646,261,"2025-01-09","Credit Card"
312,4424,39,"2025-05-26","Bank Transfer"
313,2995,129,"2024-07-01","Bank Transfer"
314,790,15,"2024-09-09","PayPal"
315,3915,207,"2025-01-13","PayPal"
