"review_id","customer_id","product_id","rating","review_text","review_date","rating_language"
1,472,42,5,"Would officer type yourself.","2023-10-04","Perfect"
2,219,62,3,"Light technology what catch.","2023-10-11","Normal"
3,507,98,4,"Base under often mother.","2023-08-08","Good"
4,500,187,2,"Bit material firm us drop.","2024-06-01","Bad"
5,585,84,5,"Network peace black.","2024-07-29","Perfect"
6,433,195,2,"Wind green cost show.","2024-05-14","Bad"
7,141,130,5,"Always necessary performance painting mind rule yes.","2024-05-20","Perfect"
8,411,65,4,"Public risk likely pass respond teacher.","2025-07-11","Good"
9,691,176,5,"Expert who two environmental leg man price.","2025-07-14","Perfect"
10,202,296,2,"Power eat success imagine health fact it successful.","2024-10-21","Bad"
11,518,108,1,"Half method teacher likely field generation must.","2024-05-07","Very Bad"
12,938,58,1,"Or every section among memory.","2024-10-11","Very Bad"
13,801,230,5,"Training movie help it management future prove.","2025-05-30","Perfect"
14,598,223,5,"Remain stop race lay.","2024-06-16","Perfect"
15,389,297,5,"Daughter movement method give under inside will certain.","2025-06-09","Perfect"
16,905,255,4,"Meet save born range.","2024-10-10","Good"
17,851,8,3,"Already us both minute.","2023-11-27","Normal"
18,362,272,5,"Listen case idea indeed compare gun.","2025-06-14","Perfect"
19,300,182,5,"City leave modern lay identify sense professional.","2024-11-16","Perfect"
20,785,216,3,"Maintain find yet alone account item.","2025-05-03","Normal"
21,983,230,4,"Indicate actually could end.","2023-10-27","Good"
22,577,164,1,"Establish surface speak she statement food.","2024-07-26","Very Bad"
23,967,295,4,"Popular simply free speech.","2023-07-24","Good"
24,638,60,3,"Apply market top leg character.","2025-01-28","Normal"
25,899,14,3,"Age plant better use huge discuss.","2025-03-09","Normal"
26,506,192,4,"Want matter side suddenly now child.","2024-06-14","Good"
27,696,224,2,"Ahead edge some music watch.","2023-08-10","Bad"
28,476,109,3,"Describe all nearly.","2025-01-01","Normal"
29,584,213,4,"Person rock stuff end.","2024-01-22","Good"
30,88,249,4,"Push effect base TV system.","2025-04-07","Good"
31,725,24,1,"Billion fact same realize drop usually so.","2023-11-30","Very Bad"
32,491,156,2,"Read already store exist campaign serve.","2024-09-14","Bad"
33,568,143,2,"Board authority local bar training paper could.","2023-11-16","Bad"
34,643,229,4,"New movement perform.","2024-09-26","Good"
35,647,245,1,"Environmental of contain too check know these.","2023-08-16","Very Bad"
36,158,247,5,"Game from conference.","2025-02-02","Perfect"
37,830,57,5,"The everyone soon least.","2025-04-19","Perfect"
38,886,140,4,"Cause eight investment capital eat would relate maintain.","2024-01-01","Good"
39,814,18,3,"Form gas share.","2025-07-08","Normal"
40,139,182,5,"Report religious model degree short common blue.","2024-09-24","Perfect"
41,21,231,4,"Fear fund loss brother tree economy.","2024-12-11","Good"
42,46,240,3,"Group whose debate offer fall.","2023-10-22","Normal"
43,564,29,1,"Machine build her say group fire about.","2025-05-08","Very Bad"
