"shipping_id","order_id","shipping_date","shipping_method","shipping_status","flag_shiptype"
1,1790,"2024-09-19","Standard","Delivered","Normal"
2,2063,"2023-10-29","Express","Lost","Fast"
3,2464,"2024-05-09","Standard","Delivered","Normal"
4,1998,"2023-08-31","Standard","Delivered","Normal"
5,3528,"2025-02-22","Standard","Pending","Normal"
6,4892,"2024-02-27","Express","Lost","Fast"
7,2763,"2023-09-27","Standard","Shipped","Normal"
8,4388,"2024-09-08","Standard","Shipped","Normal"
9,260,"2024-08-22","Same-day","Delivered","Fast"
10,2917,"2024-04-11","Standard","Shipped","Normal"
11,195,"2024-02-03","Standard","Lost","Normal"
12,2504,"2024-07-25","Same-day","Delivered","Fast"
13,2615,"2025-02-19","Standard","Pending","Normal"
14,489,"2023-12-28","Same-day","Lost","Fast"
15,2959,"2024-01-23","Express","Lost","Fast"
16,262,"2023-12-28","Express","Shipped","Fast"
17,4882,"2024-12-09","Same-day","Pending","Fast"
18,1433,"2025-03-25","Express","Shipped","Fast"
19,4359,"2024-04-06","Standard","Lost","Normal"
20,2205,"2024-03-04","Express","Shipped","Fast"
21,3285,"2024-06-14","Standard","Delivered","Normal"
22,3797,"2024-09-20","Express","Lost","Fast"
23,1354,"2024-04-23","Express","Shipped","Fast"
24,68,"2024-08-02","Same-day","Shipped","Fast"
25,419,"2024-08-13","Same-day","Pending","Fast"
26,3751,"2023-12-17","Express","Delivered","Fast"
27,1615,"2023-07-26","Express","Pending","Fast"
28,2297,"2025-05-23","Same-day","Pending","Fast"
29,1411,"2025-05-08","Same-day","Pending","Fast"
30,4944,"2024-02-04","Same-day","Lost","Fast"
31,1607,"2025-06-07","Express","Shipped","Fast"
32,4647,"2024-09-27","Standard","Lost","Normal"
33,375,"2024-04-25","Same-day","Delivered","Fast"
34,3830,"2024-01-30","Standard","Lost","Normal"
35,3661,"2024-01-11","Standard","Shipped","Normal"
36,1862,"2025-06-03","Express","Lost","Fast"
37,4015,"2023-11-30","Standard","Lost","Normal"
38,1163,"2023-09-14","Standard","Lost","Normal"
39,4836,"2024-10-03","Standard","Delivered","Normal"
40,2579,"2024-06-29","Same-day","Shipped","Fast"
41,2209,"2024-03-17","Same-day","Delivered","Fast"
42,2830,"2024-01-09","Same-day","Shipped","Fast"
43,40,"2024-02-12","Same-day","Lost","Fast"
44,1980,"2024-05-12","Same-day","Pending","Fast"
45,4606,"2024-05-20","Same-day","Pending","Fast"
46,235,"2023-09-11","Standard","Shipped","Normal"
47,520,"2024-03-22","Standard","Shipped","Normal"
48,3455,"2024-04-03","Standard","Shipped","Normal"
49,1129,"2023-11-01","Express","Delivered","Fast"
50,2745,"2024-08-21","Same-day","Delivered","Fast"
51,4581,"2023-12-18","Same-day","Shipped","Fast"
52,2877,"2025-04-26","Standard","Lost","Normal"
53,901,"2024-08-26","Express","Pending","Fast"
54,2903,"2023-12-04","Express","Pending","Fast"
55,315,"2023-08-31","Express","Shipped","Fast"
56,1087,"2023-10-03","Same-day","Lost","Fast"
57,40,"2023-09-28","Express","Pending","Fast"
58,2457,"2025-07-12","Express","Lost","Fast"
59,2814,"2025-01-23","Same-day","Delivered","Fast"
60,190,"2025-07-04","Same-day","Lost","Fast"
61,1516,"2024-02-05","Express","Shipped","Fast"
62,4607,"2025-07-08","Standard","Delivered","Normal"
63,772,"2024-07-23","Same-day","Delivered","Fast"
64,2554,"2024-04-10","Express","Shipped","Fast"
65,1719,"2025-03-10","Express","Lost","Fast"
66,2814,"2025-02-26","Express","Delivered","Fast"
67,1860,"2025-01-16","Standard","Delivered","Normal"
68,531,"2024-01-18","Same-day","Delivered","Fast"
69,1141,"2024-12-20","Express","Pending","Fast"
70,3802,"2024-09-08","Same-day","Delivered","Fast"
71,4888,"2024-05-03","Standard","Pending","Normal"
72,2170,"2023-09-07","Same-day","Delivered","Fast"
73,1905,"2024-11-28","Express","Lost","Fast"
74,1834,"2025-04-19","Express","Shipped","Fast"
75,4027,"2024-08-29","Express","Lost","Fast"
76,2709,"2025-06-20","Standard","Lost","Normal"
77,1541,"2025-02-22","Same-day","Delivered","Fast"
78,645,"2023-10-21","Same-day","Shipped","Fast"
79,824,"2024-06-24","Express","Delivered","Fast"
80,915,"2024-01-15","Express","Lost","Fast"
81,1166,"2024-07-15","Standard","Pending","Normal"
82,1958,"2023-08-17","Express","Shipped","Fast"
83,2889,"2024-06-02","Express","Lost","Fast"
84,4720,"2025-01-23","Standard","Delivered","Normal"
85,240,"2023-11-28","Express","Lost","Fast"
86,2251,"2025-04-30","Same-day","Pending","Fast"
87,1367,"2023-08-16","Express","Pending","Fast"
88,3286,"2025-01-01","Same-day","Lost","Fast"
89,2933,"2024-11-13","Express","Shipped","Fast"
90,1513,"2024-01-21","Express","Pending","Fast"
91,3775,"2023-10-30","Express","Lost","Fast"
92,2165,"2024-07-09","Same-day","Shipped","Fast"
93,1221,"2025-03-12","Same-day","Pending","Fast"
94,4517,"2025-01-08","Express","Lost","Fast"
95,3557,"2023-08-05","Standard","Shipped","Normal"
96,3116,"2025-03-01","Express","Shipped","Fast"
97,1501,"2024-10-20","Standard","Lost","Normal"
98,2818,"2025-05-28","Same-day","Shipped","Fast"
99,910,"2024-04-09","Same-day","Shipped","Fast"
100,419,"2023-11-15","Same-day","Shipped","Fast"
101,4290,"2025-06-09","Express","Pending","Fast"
102,2978,"2024-05-09","Express","Lost","Fast"
103,4063,"2025-04-19","Express","Shipped","Fast"
