order_id,customer_id,product_id,order_date,quantity
1,881,199,2024-08-25,7
2,465,19,2023-09-19,8
3,73,299,2023-08-14,8
4,704,293,2023-09-21,7
5,240,98,2024-05-26,7
6,947,176,2024-05-20,6
7,271,114,2023-09-17,8
8,807,274,2025-04-20,6
9,811,244,2023-12-11,5
10,641,184,2024-01-27,7
11,604,260,2024-05-01,1
12,678,154,2023-09-30,3
13,824,88,2024-10-14,8
14,957,286,2025-05-04,4
15,203,93,2023-10-26,5
16,436,151,2025-01-25,2
17,118,50,2024-12-16,6
18,558,242,2025-06-06,2
19,231,66,2024-12-11,5
20,664,133,2023-10-13,9
21,153,287,2024-02-12,9
22,931,94,2024-07-15,9
23,273,172,2023-11-12,2
24,847,46,2024-05-28,5
25,146,114,2023-09-03,4
26,74,182,2025-02-18,2
27,62,115,2024-02-27,2
28,170,158,2024-03-26,2
29,812,216,2025-05-01,6
30,315,170,2025-06-09,1
31,610,191,2025-01-06,9
32,767,134,2024-03-02,4
33,845,300,2025-04-28,6
34,583,151,2023-09-25,4
35,944,238,2024-04-26,6
36,296,61,2023-10-15,5
37,450,241,2024-07-03,5
38,128,28,2025-03-26,5
39,480,299,2024-12-16,4
40,706,298,2024-08-02,10
41,312,37,2024-01-29,3
42,717,242,2024-02-02,9
43,413,100,2024-10-02,5
44,966,257,2024-10-27,1
45,279,62,2024-01-17,5
46,513,196,2023-08-07,5
47,553,272,2025-06-28,6
48,506,153,2025-02-25,7
49,449,212,2024-02-06,7
50,83,28,2024-03-15,10
51,613,78,2023-07-24,1
52,41,71,2023-11-17,8
53,911,103,2024-05-04,9
54,443,176,2024-09-19,3
55,753,210,2023-11-18,7
56,331,292,2025-04-07,4
57,619,235,2023-09-17,4
58,257,74,2024-10-18,4
59,27,162,2023-11-29,8
60,94,93,2025-04-24,4
61,235,42,2023-08-03,9
62,985,250,2024-12-23,10
63,691,171,2023-09-30,9
64,857,91,2024-08-22,8
65,882,161,2023-12-31,8
66,590,30,2024-12-22,6
67,602,3,2023-11-25,2
68,974,232,2025-07-10,6
69,22,141,2024-08-12,4
70,784,108,2025-01-02,7
71,689,87,2023-10-12,7
72,842,296,2023-11-22,4
73,276,82,2024-12-06,8
74,591,251,2025-02-12,8
75,42,46,2023-10-10,9
76,782,67,2024-05-08,1
77,775,223,2025-07-09,6
78,180,220,2024-12-04,3
79,482,207,2023-12-10,10
80,532,220,2024-01-30,3
81,668,245,2024-02-03,5
82,453,197,2024-10-17,1
83,939,3,2023-09-13,8
84,285,20,2024-02-01,6
85,186,274,2023-12-04,6
86,600,103,2024-10-15,4
87,447,192,2025-03-10,7
88,651,8,2023-10-05,7
89,834,165,2024-06-15,7
90,504,272,2024-01-25,9
91,993,98,2025-06-22,5
92,94,10,2024-11-03,6
93,482,3,2025-01-29,10
94,357,128,2024-07-28,1
95,419,116,2024-10-10,10
96,342,177,2024-04-28,1
97,329,160,2024-11-23,3
98,687,67,2023-08-09,3
99,108,53,2023-11-12,6
100,879,197,2023-12-09,10
101,165,258,2025-02-26,10
102,338,157,2025-05-28,10
103,422,86,2023-11-28,10
104,711,34,2025-06-27,7
105,508,24,2023-12-14,7
106,296,153,2023-10-24,4
107,679,149,2024-04-06,7
108,968,234,2023-12-31,2
109,411,267,2024-04-12,9
110,834,269,2024-05-24,7
111,779,173,2024-01-30,4
112,564,223,2023-07-31,8
113,38,69,2025-06-23,2
114,466,176,2025-02-10,6
115,91,251,2024-02-16,10
116,323,184,2025-03-27,8
117,259,97,2024-01-25,5
118,332,85,2025-01-05,2
119,119,207,2024-02-06,3
120,994,10,2024-10-26,2
121,792,117,2024-11-27,9
122,414,115,2024-09-15,3
123,886,68,2025-06-30,1
124,527,109,2025-06-22,10
125,845,12,2023-08-12,8
126,2,259,2024-09-05,1
127,674,87,2025-04-27,3
128,891,64,2025-02-12,4
129,556,188,2023-12-04,2
130,474,20,2023-12-06,7
131,424,193,2024-11-24,5
132,56,131,2024-10-03,4
133,193,274,2025-06-20,4
134,531,25,2025-05-11,5
135,371,25,2025-07-20,9
136,638,56,2025-06-07,2
137,775,11,2024-06-29,8
138,511,25,2025-02-08,1
139,641,60,2024-06-01,6
140,453,214,2024-09-09,9
141,779,228,2024-10-19,1
142,53,195,2024-03-26,3
143,209,64,2024-03-30,6
144,274,281,2024-05-04,7
145,563,130,2023-07-27,7
146,135,243,2025-03-17,3
147,950,79,2023-10-09,2
148,295,106,2025-07-06,3
149,449,5,2025-05-01,9
150,902,155,2023-10-25,7
151,716,216,2024-11-17,8
152,497,52,2023-09-04,2
153,125,267,2025-02-24,7
154,30,139,2023-07-22,4
155,997,71,2024-10-12,3
156,646,215,2023-12-08,4
157,624,54,2024-08-14,5
