payment_id,order_id,amount,payment_date,payment_method
1,2637,705.45,2024-10-20,Bank Transfer
2,3503,252.08,2025-04-29,PayPal
3,3133,581.83,2025-06-06,Bank Transfer
4,2669,895.58,2023-10-04,Credit Card
5,4572,211.15,2025-06-08,Bank Transfer
6,4588,560.38,2024-08-13,PayPal
7,1634,314.98,2025-06-25,Bank Transfer
8,1762,423.7,2025-03-17,Bank Transfer
9,4121,494.21,2024-07-23,PayPal
10,3606,648.16,2025-07-18,Credit Card
11,2245,739.74,2025-04-13,PayPal
12,876,883.68,2023-10-15,PayPal
13,610,226.68,2024-05-24,Credit Card
14,1992,810.16,2025-06-30,Credit Card
15,1315,296.94,2024-09-19,Credit Card
16,2667,942.48,2024-12-02,Credit Card
17,3930,575.33,2024-10-23,PayPal
18,4858,268.43,2024-09-12,Credit Card
19,3850,261.36,2024-10-02,Bank Transfer
20,377,812.66,2025-07-04,Bank Transfer
21,3196,777.18,2024-07-09,Credit Card
22,3990,615.1,2024-04-22,PayPal
23,2047,727.78,2023-09-16,Credit Card
24,2295,188.66,2025-04-11,Bank Transfer
25,4971,452.36,2023-09-29,Bank Transfer
26,4802,826.62,2024-10-19,Credit Card
27,3073,862.01,2025-01-20,Bank Transfer
28,486,444.41,2023-11-14,Bank Transfer
29,831,194.93,2024-10-11,Credit Card
30,460,182.59,2024-12-16,Bank Transfer
31,2808,79.18,2025-01-02,Bank Transfer
32,2262,64.88,2024-04-25,Bank Transfer
33,4407,254.02,2025-01-06,Credit Card
34,3027,902.06,2025-06-08,PayPal
35,3590,473.83,2024-03-11,Credit Card
36,2329,531.73,2023-12-11,Bank Transfer
37,910,502.72,2024-10-23,Credit Card
38,3866,121.39,2024-07-23,PayPal
39,1101,495.42,2025-04-16,Bank Transfer
40,607,896.43,2024-05-17,PayPal
41,2659,333.61,2024-12-05,Credit Card
42,3390,583.78,2023-12-10,Credit Card
43,1244,562.73,2023-10-01,PayPal
44,1233,915.83,2023-12-23,Credit Card
45,4832,250.6,2024-06-21,PayPal
46,2449,157.75,2023-08-08,Bank Transfer
47,4703,814.2,2025-06-24,Credit Card
48,1639,755.22,2024-08-13,Bank Transfer
49,4603,107.57,2024-04-23,PayPal
50,721,795.3,2023-10-24,PayPal
51,3591,403.16,2024-10-27,Bank Transfer
52,2009,792.68,2024-06-25,PayPal
53,2686,864.35,2024-04-13,Credit Card
54,4692,552.5,2023-12-30,PayPal
55,4478,181.53,2024-03-09,Bank Transfer
56,2136,884.54,2024-07-16,PayPal
57,4561,272.66,2024-05-26,Credit Card
58,4351,558.67,2023-10-21,Credit Card
59,2388,610.51,2024-11-19,Credit Card
60,180,940.33,2025-05-23,Bank Transfer
61,1151,885.98,2023-07-28,Bank Transfer
62,558,523.44,2025-03-30,Bank Transfer
63,2572,510.86,2025-04-13,Bank Transfer
64,2960,573.23,2024-12-06,Bank Transfer
65,3653,355.82,2025-02-03,Bank Transfer
66,1760,218.48,2024-07-19,Credit Card
67,1509,742.58,2024-11-11,Credit Card
68,2632,707.9,2024-10-09,Bank Transfer
69,3837,378.47,2024-03-11,Credit Card
70,1866,519.19,2024-01-31,PayPal
71,3775,192.81,2025-07-19,PayPal
72,2968,641.05,2025-01-10,Bank Transfer
73,2729,400.4,2025-02-26,Bank Transfer
74,1631,70.27,2024-10-28,Bank Transfer
75,2122,839.48,2024-01-26,Bank Transfer
76,2092,753.1,2023-08-29,Credit Card
77,4945,997.57,2024-02-06,Credit Card
78,190,770.88,2024-11-29,PayPal
79,1150,209.98,2024-03-04,PayPal
80,977,285.35,2024-12-04,Bank Transfer
81,3366,309.08,2024-10-22,Bank Transfer
82,3501,923.32,2025-03-17,PayPal
83,3247,648.95,2024-01-16,PayPal
84,3985,816.53,2025-03-19,Credit Card
85,394,856.63,2024-07-13,PayPal
86,4329,578.11,2023-10-26,Bank Transfer
87,494,118.39,2024-12-11,Credit Card
88,4197,75.74,2023-10-24,Credit Card
89,3060,836.83,2023-10-17,Bank Transfer
90,133,171.37,2024-04-11,PayPal
91,4635,217.95,2024-02-13,Bank Transfer
92,3582,730.68,2024-06-04,PayPal
