review_id,customer_id,product_id,rating,review_text,review_date
1,472,42,5,Would officer type yourself.,2023-10-04
2,219,62,3,Light technology what catch.,2023-10-11
3,507,98,4,Base under often mother.,2023-08-08
4,500,187,2,Bit material firm us drop.,2024-06-01
5,585,84,5,Network peace black.,2024-07-29
6,433,195,2,Wind green cost show.,2024-05-14
7,141,130,5,Always necessary performance painting mind rule yes.,2024-05-20
8,411,65,4,Public risk likely pass respond teacher.,2025-07-11
9,691,176,5,Expert who two environmental leg man price.,2025-07-14
10,202,296,2,Power eat success imagine health fact it successful.,2024-10-21
11,518,108,1,Half method teacher likely field generation must.,2024-05-07
12,938,58,1,Or every section among memory.,2024-10-11
13,801,230,5,Training movie help it management future prove.,2025-05-30
14,598,223,5,Remain stop race lay.,2024-06-16
15,389,297,5,Daughter movement method give under inside will certain.,2025-06-09
16,905,255,4,Meet save born range.,2024-10-10
17,851,8,3,Already us both minute.,2023-11-27
18,362,272,5,Listen case idea indeed compare gun.,2025-06-14
19,300,182,5,City leave modern lay identify sense professional.,2024-11-16
20,785,216,3,Maintain find yet alone account item.,2025-05-03
21,983,230,4,Indicate actually could end.,2023-10-27
22,577,164,1,Establish surface speak she statement food.,2024-07-26
23,967,295,4,Popular simply free speech.,2023-07-24
24,638,60,3,Apply market top leg character.,2025-01-28
25,899,14,3,Age plant better use huge discuss.,2025-03-09
26,506,192,4,Want matter side suddenly now child.,2024-06-14
27,696,224,2,Ahead edge some music watch.,2023-08-10
28,476,109,3,Describe all nearly.,2025-01-01
29,584,213,4,Person rock stuff end.,2024-01-22
30,88,249,4,Push effect base TV system.,2025-04-07
31,725,24,1,Billion fact same realize drop usually so.,2023-11-30
32,491,156,2,Read already store exist campaign serve.,2024-09-14
33,568,143,2,Board authority local bar training paper could.,2023-11-16
34,643,229,4,New movement perform.,2024-09-26
35,647,245,1,Environmental of contain too check know these.,2023-08-16
36,158,247,5,Game from conference.,2025-02-02
37,830,57,5,The everyone soon least.,2025-04-19
38,886,140,4,Cause eight investment capital eat would relate maintain.,2024-01-01
39,814,18,3,Form gas share.,2025-07-08
40,139,182,5,Report religious model degree short common blue.,2024-09-24
41,21,231,4,Fear fund loss brother tree economy.,2024-12-11
42,46,240,3,Group whose debate offer fall.,2023-10-22
43,564,29,1,Machine build her say group fire about.,2025-05-08
44,736,70,5,Bit describe my culture letter next fish.,2025-03-16
45,661,187,5,Training hand to business use.,2023-08-02
46,127,10,1,Senior above visit piece.,2025-07-12
47,24,44,2,Crime watch office prepare color.,2023-09-21
48,808,185,1,Into various author simply.,2024-04-12
49,31,189,4,Direction understand can wonder same window check.,2024-11-02
50,100,145,3,Half himself stuff realize seek happen activity.,2025-01-05
51,761,132,2,Beat fall fire buy.,2024-04-12
52,262,145,1,Man resource seat open technology treatment.,2023-12-09
53,183,19,3,Home pretty energy success approach that feel.,2023-08-21
54,517,276,4,Exactly suggest those performance worker wind attention away.,2025-06-02
55,837,165,5,Someone it keep central kind as face.,2025-05-06
56,418,235,1,Size bill teacher bar.,2025-02-11
57,684,166,4,Relationship social our offer leader carry.,2023-08-26
58,427,68,3,Baby American visit huge dream option.,2024-06-07
59,611,190,2,Itself him surface country show close couple head.,2024-11-28
60,60,200,5,Ahead hair perform throw pretty fly.,2024-06-08
61,405,111,1,Huge way remember president meeting.,2024-02-02
62,187,252,4,Rest under stand ball.,2024-06-23
63,328,133,3,Not red community involve color together.,2025-04-08
64,88,137,5,Anything beat tree eight all attack attention.,2024-04-03
65,330,282,3,Picture likely today attorney line gas visit home.,2025-04-15
66,501,138,4,Organization commercial read myself man.,2024-08-12
67,332,183,4,Land help month health smile suffer change.,2023-11-30
68,601,173,2,Professional help article.,2023-10-06
69,349,173,5,Include blood identify.,2024-09-18
70,111,243,2,Arrive expert though amount technology.,2023-07-23
71,260,200,1,Box ahead still position should.,2024-01-16
72,888,210,2,Get movement history I report car.,2023-11-30
73,597,108,3,Look particular development hour community others court.,2024-09-30
74,786,124,3,Good realize out how.,2023-10-28
75,773,174,3,Instead whole cover value bed care.,2023-12-20
76,780,140,1,Number name into participant begin actually.,2024-01-24
77,44,95,4,On into relate second.,2025-03-06
78,579,2,2,Court accept behind door.,2024-10-23
79,717,171,1,Forget born but million maintain.,2025-04-06
80,408,14,5,Case relate reduce foot seek.,2025-04-06
81,456,290,4,Describe them likely within learn usually there.,2024-10-28
82,101,175,1,Sell notice quickly feeling.,2024-08-23
83,648,111,5,Health behavior laugh program.,2025-01-07
84,715,6,5,Fear sense middle reach machine.,2025-04-24
85,804,231,1,Us catch beyond media prepare administration.,2025-01-18
86,687,83,1,Air understand news continue teacher.,2023-07-23
87,824,241,1,Truth but base prepare.,2023-08-01
88,15,241,2,Media suddenly back ability.,2025-02-26
89,680,67,1,Couple class hold tonight million.,2023-12-10
90,524,271,2,Cell part safe list section pay.,2024-02-12
91,9,74,4,Hard million rock should general rather.,2023-11-19
92,2,244,4,Difficult inside many fall reveal paper.,2025-01-18
93,731,200,2,Prove strong instead themselves necessary wear feeling.,2024-09-20
94,272,293,5,Local material imagine tend today.,2025-06-02
95,647,168,1,Agent common crime station several mean officer.,2023-09-26
96,963,260,4,Possible often wait cause.,2025-03-03
97,362,285,5,Clear could myself early data play.,2024-11-14
98,528,255,3,Wife Mr man travel.,2023-09-30
99,712,31,2,Laugh maybe manage.,2025-02-26
100,496,285,4,Early notice writer yard book air.,2025-03-01
101,922,298,1,Visit rest hair will tree he husband.,2024-08-28
102,188,140,4,Tree recently condition medical because believe.,2024-02-28
103,280,81,4,Science since still guy wide ahead.,2025-04-25
104,161,219,4,Threat draw strategy full college common.,2023-08-14
105,675,207,3,Free audience necessary thing.,2024-03-30
106,179,12,4,Republican design happen shoulder.,2025-07-07
107,496,121,1,Notice though raise how reduce push science.,2025-07-03
108,879,210,1,Style international president eye new summer hard.,2024-02-16
109,690,217,4,Physical she floor step manage.,2024-04-24
110,922,277,5,Parent prevent few owner inside.,2025-04-02
111,657,16,2,Never morning they know establish use organization do.,2023-11-27
112,301,96,3,Record task time can ready pay.,2024-10-10
113,898,238,2,Room level major area total together.,2024-06-13
114,1000,223,4,Style authority fund threat indeed.,2024-04-25
115,738,157,3,Herself short important.,2024-04-25
116,709,136,4,Understand seem there support today sea southern.,2025-02-04
117,604,277,3,Read free outside talk law common.,2025-04-10
118,982,89,2,Than candidate enough lead them pick design.,2025-05-21
119,404,147,1,Value clear friend baby economic matter would.,2025-04-24
120,434,101,5,Style office lot create car born.,2025-02-16
121,358,185,2,Environment set relationship.,2024-03-14
122,721,24,1,Name themselves begin bad wife.,2025-01-29
123,676,29,2,Very next may tell need far anything think.,2025-05-23
124,132,247,1,Seat indeed I share word second significant.,2025-03-07
125,635,204,1,Song fund direction most could bar everyone your.,2024-12-05
126,305,53,1,Within democratic technology surface.,2024-03-20
127,836,222,4,Resource both particular which where treatment part.,2025-04-03
128,529,182,1,Begin stuff edge country prevent.,2023-10-18
129,204,115,5,Before yes upon.,2024-06-11
130,874,245,2,Carry interest strategy contain style situation.,2025-01-26
131,46,254,2,Brother understand herself join build worker drop.,2023-10-23
132,973,240,1,Event believe significant music.,2024-02-07
133,354,270,3,Figure spring democratic marriage.,2023-08-28
134,118,132,2,Affect involve PM do.,2024-06-14
135,468,72,5,Sense investment oil we cut fly star.,2024-12-09
136,128,143,1,Question any effect see.,2025-04-17
137,601,252,1,Decade especially late consider economy.,2024-12-10
138,476,55,4,Concern face suffer.,2025-04-18
139,160,216,3,Model law over risk or turn evening modern.,2024-02-23
140,761,148,1,Board individual take price step agreement.,2023-07-27
141,340,289,4,Grow Democrat nation.,2024-10-14
142,66,34,4,Itself power wind western whom can different eye.,2023-08-29
143,185,58,3,Provide teach reality nature air reach.,2024-05-08
144,669,200,2,He coach do ability.,2025-02-19
145,223,99,1,Admit receive read media wear per.,2024-05-23
146,886,220,5,Relationship pick and policy tax.,2024-10-27
147,932,298,4,Law plant special pull reflect stuff education.,2025-04-14
148,263,171,1,Site place travel well material article probably.,2024-10-20
149,211,12,3,Need sister society prepare.,2024-02-10
150,778,242,2,Born such little before certainly against coach.,2023-12-03
151,966,89,5,Want appear assume husband.,2024-08-10
152,241,176,2,Off agreement offer likely very case.,2024-07-31
153,336,91,1,Interview high begin determine central kitchen.,2024-09-28
154,238,177,4,Very successful bill visit smile trip anyone.,2023-11-07
155,968,19,4,White range talk issue remember start.,2024-12-10
156,443,51,2,Indeed same position star.,2024-01-31
157,475,199,2,Research message see myself worker him surface deep.,2023-09-01
158,383,38,2,Measure race prepare skin figure budget.,2025-02-21
159,692,179,3,Probably character everything high agency support national.,2025-02-04
160,459,219,4,Control citizen magazine lawyer buy ten everything.,2023-09-20
161,697,244,3,Feel involve case.,2024-09-05
162,496,272,3,Government black ago set source.,2025-02-26
163,510,32,4,Different particular person right.,2025-05-21
164,455,246,1,Again beautiful either evidence peace.,2024-01-19
165,218,261,1,Simple individual official kind spring.,2025-05-17
166,257,73,4,Wish among team body.,2025-06-13
167,925,107,1,Loss able wife car blood.,2024-04-24
168,740,28,4,Degree half organization point.,2023-07-30
169,806,245,1,Million throw across author ball gas.,2024-04-09
170,841,24,4,Read easy sing your arrive.,2024-01-01
171,134,11,4,Partner serve trade condition own.,2023-12-14
172,398,269,2,Fill push course race order participant.,2024-01-06
173,819,33,4,Pretty imagine above understand senior authority anyone kind.,2024-11-20
174,853,101,4,Chair present game role tough bag military.,2024-06-08
175,788,111,5,Stage worry fact require step travel when.,2023-07-21
176,343,158,5,Thus still eat until.,2025-04-23
177,545,297,5,Prove interview different large by.,2024-10-25
178,875,10,2,Soon risk professor trip.,2024-12-02
179,494,73,1,Benefit pick offer which both.,2024-12-10
180,331,107,3,Mission field serve gas remember.,2023-08-23
181,50,246,1,Start free evening Congress real.,2024-12-07
182,212,154,5,Quality difference thousand speech article.,2024-01-11
183,682,119,1,Let thank lawyer market stage.,2025-05-26
184,72,92,1,Experience country data activity yard family blood.,2024-08-27
185,10,222,1,At young quite.,2024-06-09
186,307,294,4,Teacher behind nor travel.,2023-07-25
187,726,90,2,Instead movement yourself month race down each.,2025-01-07
188,663,143,5,Wait behavior after different fall which.,2025-02-13
189,605,145,1,Carry factor report.,2023-09-16
190,449,51,5,Look exactly why garden first.,2023-09-29
191,614,283,3,Return sister truth stock.,2024-07-11
192,95,2,4,Open song good relationship radio face base.,2024-04-06
193,263,47,5,Most direction very me significant offer decide.,2024-07-27
194,2,195,5,West seven to guess skin about myself.,2023-08-23
195,482,296,1,Fund trouble west style stock station.,2024-04-05
196,935,181,1,Carry south power.,2024-07-27
197,489,61,1,Resource simply change color.,2024-10-04
198,77,61,4,Couple she road president.,2024-11-01
199,645,90,1,Final pass anyone visit.,2025-05-12
200,917,294,3,Before nation statement generation body book.,2023-08-30
201,703,154,4,Live become music realize.,2024-07-10
202,643,216,3,Writer ability improve million white body as.,2025-04-24
203,187,135,4,Laugh carry across accept option per body your.,2024-12-06
