shipping_id,order_id,shipping_date,shipping_method,shipping_status
1,1790,2024-09-19,Standard,Delivered
2,2063,2023-10-29,Express,Lost
3,2464,2024-05-09,Standard,Delivered
4,1998,2023-08-31,Standard,Delivered
5,3528,2025-02-22,Standard,Pending
6,4892,2024-02-27,Express,Lost
7,2763,2023-09-27,Standard,Shipped
8,4388,2024-09-08,Standard,Shipped
9,260,2024-08-22,Same-day,Delivered
10,2917,2024-04-11,Standard,Shipped
11,195,2024-02-03,Standard,Lost
12,2504,2024-07-25,Same-day,Delivered
13,2615,2025-02-19,Standard,Pending
14,489,2023-12-28,Same-day,Lost
15,2959,2024-01-23,Express,Lost
16,262,2023-12-28,Express,Shipped
17,4882,2024-12-09,Same-day,Pending
18,1433,2025-03-25,Express,Shipped
19,4359,2024-04-06,Standard,Lost
20,2205,2024-03-04,Express,Shipped
21,3285,2024-06-14,Standard,Delivered
22,3797,2024-09-20,Express,Lost
23,1354,2024-04-23,Express,Shipped
24,68,2024-08-02,Same-day,Shipped
25,419,2024-08-13,Same-day,Pending
26,3751,2023-12-17,Express,Delivered
27,1615,2023-07-26,Express,Pending
28,2297,2025-05-23,Same-day,Pending
29,1411,2025-05-08,Same-day,Pending
30,4944,2024-02-04,Same-day,Lost
31,1607,2025-06-07,Express,Shipped
32,4647,2024-09-27,Standard,Lost
33,375,2024-04-25,Same-day,Delivered
34,3830,2024-01-30,Standard,Lost
35,3661,2024-01-11,Standard,Shipped
36,1862,2025-06-03,Express,Lost
37,4015,2023-11-30,Standard,Lost
38,1163,2023-09-14,Standard,Lost
39,4836,2024-10-03,Standard,Delivered
40,2579,2024-06-29,Same-day,Shipped
41,2209,2024-03-17,Same-day,Delivered
42,2830,2024-01-09,Same-day,Shipped
43,40,2024-02-12,Same-day,Lost
44,1980,2024-05-12,Same-day,Pending
45,4606,2024-05-20,Same-day,Pending
46,235,2023-09-11,Standard,Shipped
47,520,2024-03-22,Standard,Shipped
48,3455,2024-04-03,Standard,Shipped
49,1129,2023-11-01,Express,Delivered
50,2745,2024-08-21,Same-day,Delivered
51,4581,2023-12-18,Same-day,Shipped
52,2877,2025-04-26,Standard,Lost
53,901,2024-08-26,Express,Pending
54,2903,2023-12-04,Express,Pending
55,315,2023-08-31,Express,Shipped
56,1087,2023-10-03,Same-day,Lost
57,40,2023-09-28,Express,Pending
58,2457,2025-07-12,Express,Lost
59,2814,2025-01-23,Same-day,Delivered
60,190,2025-07-04,Same-day,Lost
61,1516,2024-02-05,Express,Shipped
62,4607,2025-07-08,Standard,Delivered
63,772,2024-07-23,Same-day,Delivered
64,2554,2024-04-10,Express,Shipped
65,1719,2025-03-10,Express,Lost
66,2814,2025-02-26,Express,Delivered
67,1860,2025-01-16,Standard,Delivered
68,531,2024-01-18,Same-day,Delivered
69,1141,2024-12-20,Express,Pending
70,3802,2024-09-08,Same-day,Delivered
71,4888,2024-05-03,Standard,Pending
72,2170,2023-09-07,Same-day,Delivered
73,1905,2024-11-28,Express,Lost
74,1834,2025-04-19,Express,Shipped
75,4027,2024-08-29,Express,Lost
76,2709,2025-06-20,Standard,Lost
77,1541,2025-02-22,Same-day,Delivered
78,645,2023-10-21,Same-day,Shipped
79,824,2024-06-24,Express,Delivered
80,915,2024-01-15,Express,Lost
81,1166,2024-07-15,Standard,Pending
82,1958,2023-08-17,Express,Shipped
83,2889,2024-06-02,Express,Lost
84,4720,2025-01-23,Standard,Delivered
85,240,2023-11-28,Express,Lost
86,2251,2025-04-30,Same-day,Pending
87,1367,2023-08-16,Express,Pending
88,3286,2025-01-01,Same-day,Lost
89,2933,2024-11-13,Express,Shipped
90,1513,2024-01-21,Express,Pending
91,3775,2023-10-30,Express,Lost
92,2165,2024-07-09,Same-day,Shipped
93,1221,2025-03-12,Same-day,Pending
94,4517,2025-01-08,Express,Lost
95,3557,2023-08-05,Standard,Shipped
96,3116,2025-03-01,Express,Shipped
97,1501,2024-10-20,Standard,Lost
98,2818,2025-05-28,Same-day,Shipped
99,910,2024-04-09,Same-day,Shipped
100,419,2023-11-15,Same-day,Shipped
101,4290,2025-06-09,Express,Pending
102,2978,2024-05-09,Express,Lost
103,4063,2025-04-19,Express,Shipped
104,1831,2024-12-03,Express,Shipped
105,4330,2025-06-16,Express,Delivered
106,1577,2023-11-16,Express,Shipped
107,4539,2023-10-29,Standard,Shipped
108,2868,2025-03-07,Express,Lost
109,2856,2024-11-01,Standard,Shipped
110,2397,2023-07-27,Standard,Shipped
111,2804,2024-03-04,Same-day,Pending
112,658,2023-12-05,Same-day,Pending
113,2127,2024-11-05,Same-day,Lost
114,3534,2023-07-23,Same-day,Lost
115,336,2025-02-06,Express,Pending
116,4945,2025-06-07,Standard,Shipped
117,663,2024-05-10,Same-day,Delivered
118,4790,2025-04-09,Express,Lost
119,1902,2024-09-02,Standard,Lost
120,2656,2023-11-12,Express,Lost
121,769,2023-11-30,Same-day,Lost
122,643,2024-01-14,Standard,Shipped
123,3905,2024-09-04,Same-day,Shipped
124,2494,2024-06-09,Standard,Delivered
125,2819,2024-03-13,Same-day,Lost
126,2929,2024-02-02,Standard,Pending
127,2562,2024-04-18,Express,Lost
128,1802,2024-07-23,Same-day,Pending
129,3718,2025-04-02,Same-day,Shipped
130,257,2025-04-22,Standard,Shipped
131,3424,2023-10-15,Same-day,Delivered
132,1112,2024-04-28,Same-day,Lost
133,3883,2023-08-25,Express,Lost
134,1528,2024-07-30,Express,Delivered
135,4455,2024-01-19,Standard,Lost
136,882,2024-08-07,Express,Shipped
137,3406,2024-02-12,Standard,Lost
138,3733,2023-08-09,Standard,Lost
139,1637,2025-04-11,Express,Pending
140,2028,2024-05-27,Standard,Delivered
141,3624,2024-12-28,Express,Delivered
142,2050,2023-10-02,Standard,Lost
143,3157,2024-04-30,Same-day,Shipped
144,783,2024-05-12,Same-day,Pending
145,1151,2024-07-07,Express,Pending
146,712,2024-02-25,Standard,Shipped
147,2601,2023-09-13,Express,Delivered
148,3897,2024-04-17,Express,Shipped
149,3069,2024-01-25,Same-day,Pending
150,3467,2024-09-28,Same-day,Delivered
151,1367,2023-12-13,Express,Lost
152,3485,2024-02-07,Same-day,Pending
153,2109,2024-09-08,Same-day,Lost
154,832,2024-04-08,Standard,Delivered
155,1424,2024-05-19,Standard,Pending
156,3476,2025-03-26,Standard,Delivered
157,236,2024-05-16,Same-day,Shipped
158,4209,2024-03-23,Same-day,Shipped
159,2110,2024-02-02,Express,Lost
160,4307,2025-06-07,Express,Delivered
161,971,2025-02-12,Express,Shipped
162,4188,2023-09-13,Express,Lost
163,3622,2024-11-04,Same-day,Lost
164,3214,2024-09-02,Express,Delivered
165,1309,2025-06-06,Same-day,Lost
166,116,2024-11-26,Standard,Lost
167,4827,2023-11-14,Standard,Pending
168,486,2024-03-04,Express,Delivered
169,3473,2023-10-21,Same-day,Shipped
170,4678,2025-06-09,Same-day,Pending
171,1918,2024-01-10,Standard,Shipped
172,687,2024-09-06,Standard,Lost
173,4944,2024-06-30,Standard,Lost
174,3535,2023-12-26,Express,Delivered
175,1971,2023-07-23,Standard,Lost
176,166,2023-08-05,Same-day,Delivered
177,1925,2024-05-20,Same-day,Lost
178,4897,2024-03-05,Express,Lost
179,2753,2023-07-22,Standard,Pending
180,605,2025-04-20,Express,Delivered
181,3571,2024-02-18,Same-day,Delivered
182,4048,2023-12-30,Same-day,Delivered
183,486,2023-09-28,Express,Pending
184,2546,2024-04-20,Standard,Pending
185,2750,2024-09-26,Express,Delivered
186,267,2024-05-24,Standard,Lost
187,2703,2024-01-15,Standard,Lost
188,4835,2023-09-16,Same-day,Shipped
189,4423,2024-09-26,Same-day,Pending
190,1171,2023-08-19,Standard,Delivered
191,1025,2025-07-03,Same-day,Pending
192,3431,2025-05-27,Same-day,Shipped
193,3611,2024-06-05,Same-day,Shipped
194,1865,2024-11-07,Express,Pending
195,819,2025-02-07,Same-day,Shipped
196,1420,2025-03-15,Standard,Lost
197,1764,2024-09-25,Same-day,Delivered
198,2298,2024-11-16,Express,Lost
199,1878,2024-02-03,Standard,Shipped
200,4351,2024-01-29,Same-day,Pending
201,4556,2024-01-12,Standard,Lost
202,4347,2025-03-03,Express,Lost
203,316,2024-04-25,Standard,Shipped
204,2528,2025-01-01,Same-day,Shipped
205,4114,2025-04-30,Same-day,Lost
206,2820,2024-08-10,Same-day,Pending
207,741,2025-04-22,Same-day,Pending
208,2391,2023-08-12,Express,Delivered
209,1248,2023-10-16,Express,Pending
210,469,2023-08-31,Standard,Shipped
211,1190,2025-05-17,Express,Pending
212,3026,2023-12-27,Standard,Shipped
213,4980,2025-05-22,Standard,Pending
214,1985,2024-11-01,Express,Lost
215,3283,2024-02-16,Express,Pending
216,2440,2024-06-30,Same-day,Shipped
217,3001,2024-07-24,Standard,Delivered
218,379,2024-09-08,Same-day,Lost
219,1186,2025-05-18,Standard,Pending
220,4530,2023-08-27,Express,Lost
221,1440,2024-12-11,Express,Delivered
222,1946,2024-08-18,Standard,Pending
223,878,2023-12-14,Express,Pending
224,2018,2024-11-07,Standard,Delivered
225,2092,2024-05-06,Standard,Delivered
226,1086,2023-11-22,Express,Pending
227,3862,2023-09-10,Same-day,Lost
228,2964,2024-07-05,Same-day,Pending
229,3040,2025-03-22,Express,Shipped
230,3618,2023-10-29,Same-day,Pending
231,3102,2025-07-16,Express,Delivered
232,3823,2025-04-29,Same-day,Lost
233,1514,2023-12-24,Express,Delivered
234,4968,2024-04-04,Express,Lost
235,4995,2024-02-25,Same-day,Shipped
236,524,2024-02-11,Standard,Shipped
237,903,2023-10-03,Same-day,Pending
238,2714,2025-07-05,Express,Pending
239,2399,2024-07-15,Express,Lost
240,4838,2024-08-16,Standard,Pending
241,199,2023-08-01,Same-day,Delivered
242,2337,2024-01-26,Standard,Delivered
243,2120,2023-08-23,Express,Shipped
244,1590,2025-06-10,Standard,Lost
245,697,2023-10-08,Standard,Pending
246,4271,2024-03-19,Standard,Pending
247,1664,2024-03-24,Same-day,Pending
248,2451,2024-06-07,Standard,Pending
249,2038,2024-05-19,Standard,Pending
250,3571,2024-11-11,Same-day,Shipped
251,3052,2024-06-10,Express,Lost
252,1844,2024-09-20,Standard,Lost
253,693,2025-01-27,Standard,Lost
254,313,2024-09-27,Express,Delivered
255,1285,2023-11-28,Same-day,Shipped
256,4795,2024-07-03,Same-day,Pending
257,3964,2025-06-27,Express,Delivered
258,3963,2024-09-18,Standard,Lost
259,973,2023-07-28,Same-day,Delivered
260,879,2025-03-11,Standard,Shipped
261,2628,2024-06-05,Standard,Delivered
262,130,2024-09-15,Express,Delivered
263,3343,2023-07-26,Standard,Lost
264,1205,2025-06-05,Standard,Lost
265,4789,2023-12-16,Express,Lost
266,940,2024-02-23,Same-day,Shipped
267,3832,2024-11-18,Express,Lost
268,4956,2024-11-04,Same-day,Delivered
269,1037,2024-06-18,Express,Pending
270,3194,2023-11-29,Standard,Shipped
271,2784,2024-08-06,Same-day,Pending
272,527,2024-02-02,Same-day,Delivered
273,3703,2024-01-31,Standard,Pending
274,1751,2024-06-29,Same-day,Delivered
275,1325,2024-11-05,Same-day,Delivered
276,4172,2024-02-11,Same-day,Pending
277,914,2023-12-01,Standard,Delivered
278,3501,2023-08-27,Standard,Pending
279,1158,2023-11-02,Standard,Shipped
280,684,2024-10-13,Standard,Shipped
281,439,2024-09-18,Same-day,Delivered
282,4125,2024-08-27,Standard,Lost
283,4008,2023-10-04,Same-day,Delivered
284,1873,2024-04-22,Express,Shipped
285,1275,2024-10-31,Express,Pending
286,1284,2025-04-26,Same-day,Lost
287,803,2024-02-14,Same-day,Pending
288,4864,2024-11-07,Express,Shipped
289,4506,2023-10-02,Express,Delivered
290,2017,2023-11-26,Same-day,Shipped
291,3253,2024-09-04,Express,Pending
292,4647,2024-03-09,Same-day,Lost
293,619,2023-10-10,Same-day,Delivered
294,2640,2023-11-06,Same-day,Lost
295,3627,2025-07-17,Same-day,Delivered
296,1785,2025-06-02,Express,Lost
297,3773,2025-05-29,Same-day,Pending
298,3565,2024-05-28,Standard,Delivered
299,3966,2023-10-28,Same-day,Pending
300,934,2024-04-16,Express,Pending
301,221,2024-07-10,Express,Shipped
302,2941,2024-09-11,Same-day,Lost
303,1122,2025-05-16,Same-day,Lost
304,4628,2023-12-13,Express,Lost
305,4210,2023-08-28,Same-day,Shipped
306,3697,2025-07-01,Express,Delivered
307,3993,2024-06-04,Express,Delivered
308,9,2024-10-30,Standard,Shipped
309,3622,2023-09-16,Express,Lost
310,2393,2024-02-12,Standard,Delivered
311,2837,2023-11-01,Express,Pending
312,4874,2024-07-09,Same-day,Delivered
313,664,2023-10-13,Same-day,Delivered
314,3057,2024-10-07,Same-day,Shipped
315,1610,2023-11-01,Same-day,Shipped
316,463,2023-10-17,Same-day,Shipped
317,2084,2023-07-31,Express,Shipped
318,2246,2024-01-27,Same-day,Delivered
319,2604,2023-12-06,Same-day,Pending
320,419,2025-04-15,Standard,Lost
321,85,2024-02-26,Standard,Lost
322,1455,2023-09-16,Express,Delivered
323,49,2024-04-29,Standard,Pending
324,1073,2024-09-23,Express,Delivered
325,3091,2024-07-16,Express,Delivered
326,4266,2025-01-13,Standard,Pending
327,2000,2024-04-17,Express,Shipped
328,4592,2023-10-20,Same-day,Shipped
329,4050,2025-05-08,Standard,Shipped
330,4547,2024-11-13,Express,Shipped
331,281,2024-09-23,Express,Lost
332,1746,2024-10-03,Standard,Shipped
333,2537,2024-09-25,Same-day,Pending
334,2837,2024-11-25,Express,Pending
335,453,2025-03-16,Standard,Pending
336,1394,2025-04-13,Standard,Delivered
337,4870,2023-09-08,Standard,Lost
338,2591,2024-11-14,Express,Delivered
339,4121,2025-05-29,Same-day,Pending
340,3275,2023-10-28,Standard,Delivered
341,3708,2024-01-19,Express,Shipped
342,3249,2024-07-29,Express,Shipped
343,387,2024-08-06,Express,Shipped
344,1948,2025-06-24,Same-day,Delivered
345,390,2025-01-09,Same-day,Lost
346,2230,2024-06-22,Same-day,Shipped
347,70,2023-10-28,Same-day,Pending
348,4953,2024-05-05,Express,Delivered
349,1686,2025-03-15,Express,Lost
350,2238,2023-10-11,Same-day,Delivered
351,3344,2025-03-09,Standard,Lost
352,3763,2025-06-15,Same-day,Shipped
353,2851,2024-05-15,Same-day,Shipped
354,2438,2025-06-20,Express,Lost
355,564,2023-12-20,Standard,Delivered
356,4395,2024-03-24,Same-day,Pending
357,1198,2024-12-22,Express,Lost
358,1967,2024-06-07,Express,Pending
359,3474,2024-03-25,Express,Delivered
360,4438,2024-11-29,Standard,Delivered
361,4137,2025-05-07,Express,Delivered
362,789,2025-02-19,Express,Delivered
363,366,2024-10-25,Same-day,Lost
364,619,2024-12-17,Same-day,Pending
365,1996,2025-04-28,Standard,Shipped
366,4502,2024-02-26,Express,Pending
367,1083,2024-06-25,Same-day,Shipped
368,3657,2024-10-24,Express,Pending
369,1414,2025-03-06,Same-day,Delivered
370,588,2024-11-23,Same-day,Delivered
371,398,2023-08-14,Express,Lost
372,2569,2025-07-13,Same-day,Pending
373,821,2024-11-11,Same-day,Pending
374,1997,2024-04-26,Standard,Pending
375,2004,2025-02-20,Express,Delivered
376,2301,2023-11-23,Express,Shipped
377,3075,2024-10-04,Same-day,Lost
378,493,2024-08-04,Same-day,Shipped
379,824,2024-03-27,Standard,Lost
380,4469,2023-10-19,Same-day,Pending
381,2544,2025-02-08,Standard,Delivered
382,1309,2024-04-02,Standard,Pending
383,1220,2024-01-05,Express,Delivered
384,24,2024-08-20,Same-day,Lost
385,808,2025-07-07,Express,Lost
386,1926,2024-05-15,Standard,Shipped
387,4387,2024-07-19,Express,Delivered
388,4481,2025-05-27,Same-day,Delivered
389,1385,2023-12-26,Standard,Lost
390,2963,2024-10-22,Same-day,Shipped
391,1934,2024-03-06,Express,Shipped
392,1424,2024-12-30,Express,Lost
393,259,2023-09-02,Express,Shipped
394,4508,2024-10-24,Express,Pending
395,1614,2024-03-07,Express,Shipped
396,630,2025-06-10,Standard,Shipped
397,3169,2024-01-25,Same-day,Lost
398,4285,2023-09-15,Same-day,Delivered
399,996,2024-05-27,Same-day,Shipped
400,3368,2024-08-03,Same-day,Lost
401,1821,2024-10-22,Express,Pending
402,3403,2025-04-13,Standard,Delivered
403,75,2024-12-10,Standard,Pending
404,1947,2024-05-19,Express,Shipped
405,4403,2023-10-06,Express,Delivered
406,4632,2024-11-08,Standard,Shipped
407,705,2023-10-03,Express,Pending
408,3924,2024-03-30,Standard,Shipped
409,2012,2024-06-07,Express,Pending
410,3117,2025-03-17,Same-day,Pending
411,4918,2024-04-22,Same-day,Delivered
412,104,2023-10-03,Standard,Shipped
413,3817,2024-10-07,Standard,Lost
414,4181,2025-02-09,Standard,Delivered
415,4854,2024-06-10,Standard,Lost
416,2509,2024-02-02,Same-day,Shipped
417,3983,2023-09-04,Standard,Lost
418,3510,2023-08-28,Same-day,Shipped
419,3950,2025-06-18,Same-day,Delivered
420,1509,2025-06-05,Express,Lost
421,379,2024-06-01,Same-day,Delivered
422,351,2024-01-09,Standard,Shipped
423,190,2025-04-05,Same-day,Delivered
424,2897,2025-02-21,Express,Delivered
425,1061,2023-07-28,Express,Shipped
426,662,2025-07-05,Same-day,Pending
427,2106,2025-02-26,Express,Pending
428,817,2023-11-27,Same-day,Pending
429,413,2023-12-07,Same-day,Lost
430,3883,2025-02-11,Same-day,Lost
431,73,2025-06-30,Same-day,Delivered
