domain,currency
glamira.com,USD
glamira.de,EUR
glamira.fr,EUR
glamira.it,EUR
glamira.es,EUR
glamira.nl,EUR
glamira.be,EUR
glamira.at,EUR
glamira.fi,EUR
glamira.pt,EUR
glamira.ie,EUR
glamira.sk,EUR
glamira.si,EUR
glamira.ee,EUR
glamira.lv,EUR
glamira.lt,EUR
glamira.hr,EUR
glamira.ch,CHF
glamira.no,NOK
glamira.se,SEK
glamira.dk,DKK
glamira.pl,PLN
glamira.hu,HUF
glamira.cz,CZK
glamira.ro,RON
glamira.bg,BGN
glamira.rs,RSD
glamira.is,ISK
glamira.md,MDL
glamira.co.uk,GBP
glamira.com.au,AUD
glamira.ca,CAD
glamira.com.mx,MXN
glamira.com.br,BRL
glamira.com.ar,ARS
glamira.com.co,COP
glamira.com.pe,PEN
glamira.com.cl,CLP
glamira.com.gt,GTQ
glamira.com.hn,HNL
glamira.com.cr,CRC
glamira.com.pa,USD
glamira.com.do,DOP
glamira.com.sv,USD
glamira.com.uy,UYU
glamira.com.bo,BOB
glamira.sg,SGD
glamira.com.my,MYR
glamira.co.th,THB
glamira.vn,VND
glamira.jp,JPY
glamira.cn,CNY
glamira.hk,HKD
glamira.tw,TWD
glamira.kr,KRW
glamira.in,INR
glamira.co.nz,NZD
glamira.com.ph,PHP
glamira.ae,AED
glamira.com.tr,TRY
glamira.sa,SAR
glamira.az,AZN
glamira.co.za,ZAR
glamira.com.bo,BOB
glamira.com.cl,CLP
glamira.com.cr,CRC
glamira.com.gt,GQ
glamira.com.hn,HNL
glamira.com.mx,MXN
glamira.com.my,MYR
glamira.com.pa,USD
glamira.com.pe,PEN
glamira.com.ph,PHP
glamira.co.za,ZAR 
