store_id,store_code
1,glde
6,glit
7,gluk
8,gles
9,glat
10,glch
11,glnl
12,glfr
13,gldk
14,glit
16,glfi
17,gltr
19,glse
25,glcn
26,glbr
27,gljp
29,glau
30,glno
32,glbe
33,glbe
34,glpt
35,glch
36,glmt
37,glsg
38,glca
39,glca
40,glie
41,glen
45,glcz
46,glhu
47,glhk
48,glhk
49,glkr
50,glpl
51,glro
52,glrs
53,glsk
54,glvn
55,glsi
56,glhr
57,gllt
58,glee
59,gllv
60,glnz
61,glch
62,glmx
63,glae
64,glin
65,glar
66,glbg
67,glua
68,glen
69,glbo
70,glco
71,glcr
72,gldo
73,glec
74,glgt
75,glhn
76,glpe
77,glsg
79,glza
80,glaf
81,glaf
82,glis
83,glaf
84,glal
85,glcl
86,glph
