,count
Robert De Niro,72
Samuel L. Jackson,71
Bruce Willis,62
Nicolas Cage,61
Michael Caine,53
Robin Williams,51
John Cusack,50
John Goodman,49
Morgan Freeman,49
Liam Neeson,48
Susan Sarandon,48
Alec Baldwin,47
Julianne Moore,47
Johnny Depp,46
Gene Hackman,46
Tom Hanks,46
Christopher Walken,46
Dennis Quaid,45
Willem Dafoe,45
Sylvester Stallone,45
Clint Eastwood,44
Ed Harris,44
Meryl Streep,44
Donald Sutherland,44
Robert Downey Jr.,43
Ewan McGregor,43
Keanu Reeves,43
Antonio Banderas,43
Woody Harrelson,43
Danny Glover,42
Eddie Murphy,42
Anthony Hopkins,42
Nicole Kidman,42
Harrison Ford,42
Al Pacino,41
John Travolta,41
Dustin Hoffman,41
Steve Buscemi,41
James Franco,41
Christian Slater,40
Jean-Claude Van Damme,40
Ray Liotta,40
Sean Connery,40
Ben Kingsley,39
Brad Pitt,39
Jeff Bridges,39
Val Kilmer,39
Matt Damon,39
Harvey Keitel,39
Robert Duvall,38
Cameron Diaz,38
Steve Martin,38
Steven Seagal,38
Denzel Washington,38
Tommy Lee Jones,37
Jack Nicholson,37
John Hurt,37
Dan Aykroyd,37
Woody Allen,37
Winona Ryder,37
Bill Murray,37
Richard Gere,37
Tom Cruise,37
Julia Roberts,36
Forest Whitaker,36
Owen Wilson,36
Mark Wahlberg,36
Kevin Costner,36
Gary Oldman,36
Arnold Schwarzenegger,36
Colin Farrell,35
Michael Douglas,35
Ralph Fiennes,35
Adam Sandler,35
Ben Affleck,35
Mel Gibson,35
Ron Perlman,35
John Malkovich,35
Kevin Bacon,35
Christopher Plummer,35
Nick Nolte,35
Pierce Brosnan,35
Guy Pearce,34
Danny DeVito,34
Brian Cox,34
Paul Giamatti,34
Kurt Russell,34
Ethan Hawke,34
Ben Stiller,34
Sandra Bullock,34
Drew Barrymore,34
Michelle Pfeiffer,34
Cuba Gooding Jr.,34
Kevin Spacey,34
Naomi Watts,33
Jude Law,33
Laurence Fishburne,33
Ving Rhames,33
Sean Penn,33
Wesley Snipes,33
Kevin Kline,33
Sigourney Weaver,33
Alfred Molina,33
Scarlett Johansson,32
Jason Statham,32
Cate Blanchett,32
John C. Reilly,32
William Hurt,32
Jim Carrey,32
Bill Nighy,32
Rosario Dawson,32
Christian Bale,32
Angelina Jolie,32
Tom Wilkinson,32
Mickey Rourke,32
Uma Thurman,31
William H. Macy,31
George Clooney,31
Charlize Theron,31
Reese Witherspoon,31
Will Ferrell,31
Colin Firth,31
Jack Black,31
Jon Voight,31
Gwyneth Paltrow,31
Jeff Daniels,31
Helen Mirren,31
Paul Rudd,31
Kate Winslet,31
Christopher Lloyd,31
Tim Robbins,30
Robert Redford,30
Helena Bonham Carter,30
Greg Kinnear,30
Ryan Reynolds,30
Malcolm McDowell,30
Elijah Wood,30
Philip Seymour Hoffman,30
Leonardo DiCaprio,30
Catherine Keener,30
Andy GarcÃ­a,30
Toni Collette,29
John Leguizamo,29
Sam Rockwell,29
Diane Keaton,29
Jeremy Irons,29
Brendan Fraser,29
Joan Cusack,29
Matthew McConaughey,29
Justin Long,29
Matthew Broderick,29
Joseph Gordon-Levitt,29
Danny Trejo,29
Demi Moore,29
Mark Ruffalo,28
Lance Henriksen,28
Gerard Butler,28
Kirsten Dunst,28
Stephen Dorff,28
Tom Berenger,28
Daryl Hannah,28
Christina Ricci,28
Tim Roth,28
Kate Beckinsale,28
Timothy Spall,28
James Woods,28
Jennifer Connelly,28
Dennis Hopper,28
Sam Neill,28
Jennifer Aniston,27
Jim Broadbent,27
Rachel Weisz,27
Christopher Lee,27
Tim Curry,27
Martin Sheen,27
Marisa Tomei,27
Dolph Lundgren,27
John Turturro,27
Joaquin Phoenix,27
Salma Hayek,27
Sean Bean,27
Seth Green,26
Anjelica Huston,26
Michael Keaton,26
Elizabeth Banks,26
Russell Crowe,26
Peter Stormare,26
James Marsden,26
Aaron Eckhart,26
Meg Ryan,26
Kristen Stewart,26
Whoopi Goldberg,26
Brendan Gleeson,26
Charlie Sheen,26
Richard Jenkins,26
Jamie Lee Curtis,25
Billy Bob Thornton,25
Kim Basinger,25
Matthew Lillard,25
Randy Quaid,25
Stellan SkarsgÃ¥rd,25
Jim Belushi,25
Adrien Brody,25
Emma Thompson,25
Hugh Jackman,25
Luke Wilson,25
Maria Bello,25
Josh Brolin,25
Patrick Stewart,25
Jeff Goldblum,25
Keira Knightley,25
Tim Allen,25
Diane Lane,25
Bill Pullman,25
Jodie Foster,25
Heather Graham,25
Steve Carell,25
Robin Wright,25
Jason Bateman,24
John Cleese,24
Stanley Tucci,24
Christopher McDonald,24
Anne Hathaway,24
Vincent D'Onofrio,24
Jake Gyllenhaal,24
Jennifer Jason Leigh,24
Matt Dillon,24
Jessica Biel,24
Seth Rogen,24
Paul Newman,24
Jennifer Lopez,24
Bruce Greenwood,24
Dakota Fanning,24
Judi Dench,24
Bill Paxton,24
Juliette Lewis,24
Clancy Brown,24
