,count
Woody Allen,46
Clint Eastwood,34
Martin Scorsese,31
Steven Spielberg,30
Steven Soderbergh,23
Ridley Scott,23
Ron Howard,22
Joel Schumacher,21
Tim Burton,20
Brian De Palma,20
Francis Ford Coppola,19
Barry Levinson,19
Robert Rodriguez,19
John Carpenter,19
Wes Craven,19
David Cronenberg,19
John Landis,18
Mike Nichols,18
Rob Reiner,18
Walter Hill,18
Spike Lee,17
Norman Jewison,17
Tyler Perry,17
Robert Zemeckis,17
Roman Polanski,17
Joel Coen,17
Stephen Frears,17
Renny Harlin,17
Oliver Stone,17
Peter Hyams,17
Sidney Lumet,17
Stephen Herek,16
Gus Van Sant,16
Blake Edwards,16
Tony Scott,16
Richard Linklater,16
Richard Donner,16
Uwe Boll,16
David Lynch,16
Neil Jordan,15
Robert Altman,15
Ivan Reitman,15
Michael Apted,15
Sydney Pollack,14
Roger Donaldson,14
Peter Jackson,14
Tobe Hooper,14
John Badham,14
Sam Raimi,14
Quentin Tarantino,14
Chris Columbus,14
Garry Marshall,14
Joe Dante,14
Russell Mulcahy,14
George A. Romero,13
William Friedkin,13
Phillip Noyce,13
Lasse HallstrÃ¶m,13
Peter Farrelly,13
Terry Gilliam,13
Wes Anderson,13
Michael Winterbottom,13
John Huston,13
Steve Miner,13
Michael Ritchie,13
Dennis Dugan,13
Alan Parker,12
Gerald Thomas,12
Brett Ratner,12
Peter Weir,12
Danny Boyle,12
Frank Oz,12
John Lasseter,11
Kevin Smith,11
John Stockwell,11
John Frankenheimer,11
Sam Peckinpah,11
Bobby Farrelly,11
Jim Jarmusch,11
Curtis Hanson,11
Werner Herzog,11
James Cameron,11
Mel Brooks,11
Michael Mann,11
Michael Bay,11
David Gordon Green,11
Jr.,11
Jay Roach,11
Roland Emmerich,11
Shawn Levy,11
Stuart Gillard,11
Stuart Gordon,11
Mike Newell,11
John G. Avildsen,11
Don Bluth,11
Sean McNamara,11
Roger Corman,11
Ken Loach,11
Paul Weitz,10
Steve Rash,10
John Schlesinger,10
David Fincher,10
Paul W.S. Anderson,10
Jon Turteltaub,10
Paul Hoen,10
Don Siegel,10
Roger Spottiswoode,10
Andrew Davis,10
Edward Zwick,10
Michael Caton-Jones,10
George Miller,10
Antoine Fuqua,10
Rob Cohen,10
John McTiernan,10
Harold Ramis,10
Herbert Ross,10
Robert Harmon,10
Jay Oliva,10
Paul Schrader,10
Simon Wincer,10
Lawrence Kasdan,10
Corey Yuen Kwai,10
Richard Fleischer,10
Guy Hamilton,10
Christopher Nolan,10
John Boorman,10
Mike Leigh,10
Barry Sonnenfeld,10
Mikael Salomon,10
Kenneth Branagh,10
Joe Johnston,10
Donald Petrie,10
J. Lee Thompson,10
Brian Levant,10
David O. Russell,9
Lars von Trier,9
Jonathan Lynn,9
Stanley Kubrick,9
William Lau,9
Amy Heckerling,9
David Zucker,9
Peter Segal,9
Dario Argento,9
Robert Stevenson,9
Randal Kleiser,9
M. Night Shyamalan,9
Raja Gosnell,9
Cameron Crowe,9
Billy Wilder,9
Stephen Hopkins,9
Neil LaBute,9
Bruce Beresford,9
John Singleton,9
Dwight H. Little,9
Darren Lynn Bousman,9
Richard Rich,9
Craig R. Baxley,9
Philip Kaufman,9
Charles Grosvenor,9
Gore Verbinski,9
Richard Attenborough,9
Howard Deutch,9
Martin Campbell,9
Brian Robbins,9
Roel ReinÃ©,9
Arthur Hiller,9
Lauren Montgomery,9
Taylor Hackford,9
Wolfgang Petersen,9
Peter Hewitt,9
Jonathan Demme,9
MiloÅ¡ Forman,8
Frank Coraci,8
Gary Goldman,8
Peter Berg,8
Ken Russell,8
Andrew Fleming,8
John Hughes,8
Michael Hoffman,8
Kevin Macdonald,8
Sylvester Stallone,8
Tim Story,8
Brian Trenchard-Smith,8
Fred Schepisi,8
